FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9
Fq_L3	1.92	2.81	6.86	4.17	8.91	13.96	0.49	1.19	-5.42
Fq_L4	0.79	0.28	8.33	3.10	9.16	16.52	4.59	1.37	2.13
Fq_Lss	6.43	6.49	11.60	5.56	7.83	17.80	10.56	4.15	3.14
Fq_D1	284.53	365.31	320.69	404.56	370.24	401.84	429.64	361.45	321.81
Fq_D2	314.08	385.91	343.71	433.05	404.84	445.26	454.00	378.92	337.80
Fq_D3	317.60	390.95	347.59	433.18	414.19	453.49	459.09	375.14	333.78
QY_max	0.88	0.86	0.86	0.86	0.87	0.87	0.86	0.86	0.87
Fv/Fm_L1	0.87	0.85	0.85	0.83	0.85	0.85	0.85	0.85	0.86
Fv/Fm_L2	0.84	0.79	0.80	0.77	0.80	0.80	0.79	0.79	0.81
Fv/Fm_L3	0.81	0.76	0.78	0.75	0.77	0.78	0.76	0.76	0.76
Fv/Fm_L4	0.79	0.73	0.75	0.72	0.75	0.76	0.73	0.73	0.74
Fv/Fm_Lss	0.78	0.71	0.74	0.71	0.73	0.75	0.72	0.72	0.72
Fv/Fm_D1	0.85	0.83	0.83	0.82	0.83	0.83	0.84	0.84	0.85
Fv/Fm_D2	0.86	0.84	0.83	0.83	0.84	0.84	0.85	0.85	0.85
Fv/Fm_D3	0.86	0.84	0.84	0.83	0.84	0.84	0.85	0.85	0.85
QY_L1	-0.00	-0.03	-0.02	-0.04	-0.03	-0.02	-0.01	-0.01	-0.02
QY_L2	-0.01	-0.03	-0.01	-0.01	-0.02	-0.01	-0.02	-0.02	-0.05
QY_L3	-0.03	-0.01	0.00	-0.01	0.00	0.02	-0.02	-0.02	-0.06
QY_L4	-0.03	-0.03	0.01	-0.01	0.01	0.03	-0.00	-0.02	-0.02
QY_Lss	-0.01	-0.00	0.02	-0.01	0.00	0.04	0.02	-0.02	-0.01
QY_D1	0.80	0.80	0.79	0.78	0.79	0.79	0.81	0.80	0.81
QY_D2	0.81	0.81	0.80	0.79	0.79	0.80	0.81	0.81	0.83
QY_D3	0.82	0.81	0.80	0.79	0.80	0.81	0.82	0.81	0.83
NPQ_L1	0.14	0.18	0.16	0.22	0.16	0.15	0.11	0.15	0.12
NPQ_L2	0.44	0.75	0.60	0.81	0.66	0.68	0.65	0.70	0.62
NPQ_L3	0.74	1.07	0.87	1.10	0.96	0.93	0.99	1.04	1.10
NPQ_L4	1.03	1.50	1.15	1.39	1.24	1.14	1.31	1.36	1.45
NPQ_Lss	1.13	1.68	1.24	1.58	1.43	1.24	1.46	1.67	1.68
NPQ_D1	0.33	0.31	0.36	0.34	0.38	0.38	0.21	0.21	0.19
NPQ_D2	0.23	0.25	0.28	0.26	0.28	0.27	0.16	0.16	0.15
NPQ_D3	0.22	0.24	0.27	0.26	0.26	0.25	0.15	0.17	0.17
qN_L1	0.11	0.15	0.13	0.19	0.14	0.13	0.10	0.12	0.10
qN_L2	0.32	0.46	0.41	0.50	0.44	0.44	0.44	0.44	0.41
qN_L3	0.45	0.57	0.51	0.58	0.54	0.53	0.55	0.56	0.57
qN_L4	0.54	0.65	0.58	0.65	0.61	0.59	0.63	0.63	0.64
qN_Lss	0.56	0.68	0.60	0.68	0.64	0.61	0.66	0.67	0.68
qN_D1	0.25	0.23	0.27	0.26	0.29	0.30	0.19	0.17	0.16
qN_D2	0.18	0.19	0.22	0.21	0.23	0.22	0.14	0.13	0.13
qN_D3	0.17	0.18	0.21	0.22	0.21	0.21	0.14	0.14	0.14
qP_L1	-0.00	-0.04	-0.03	-0.05	-0.03	-0.02	-0.01	-0.02	-0.02
qP_L2	-0.02	-0.05	-0.02	-0.02	-0.03	-0.01	-0.03	-0.03	-0.07
qP_L3	-0.04	-0.02	-0.01	-0.02	-0.00	0.03	-0.03	-0.03	-0.09
qP_L4	-0.05	-0.06	-0.01	-0.03	-0.00	0.03	-0.01	-0.04	-0.04
qP_Lss	-0.03	-0.02	0.01	-0.02	-0.00	0.04	0.01	-0.10	-0.03
qP_D1	0.95	0.96	0.96	0.95	0.95	0.95	0.96	0.95	0.96
qP_D2	0.95	0.97	0.96	0.95	0.95	0.96	0.96	0.96	0.97
qP_D3	0.95	0.97	0.96	0.96	0.96	0.96	0.97	0.96	0.97
qL_L1	-0.29	-0.42	-0.38	-0.45	-0.35	-0.29	-0.15	-0.28	-0.35
qL_L2	-0.42	-0.45	-0.30	-0.27	-0.31	-0.24	-0.29	-0.51	-0.64
qL_L3	-0.62	-0.30	-0.25	-0.26	-0.23	-0.05	-0.31	-0.44	-0.73
qL_L4	-0.66	-0.57	-0.36	-0.34	-0.26	-0.13	-0.24	-0.52	-0.62
qL_Lss	-0.57	-0.38	-0.24	-0.33	-0.26	-0.02	-0.18	-1.52	-0.62
qL_D1	1.22	1.18	1.14	1.18	1.17	1.17	1.16	1.21	1.20
qL_D2	1.25	1.16	1.15	1.18	1.20	1.18	1.17	1.20	1.15
qL_D3	1.24	1.15	1.15	1.16	1.17	1.18	1.14	1.20	1.13
Rfd_L1	0.25	0.20	0.22	0.23	0.21	0.18	0.19	0.24	0.18
Rfd_L2	0.58	0.80	0.74	0.91	0.76	0.77	0.77	0.86	0.67
Rfd_L3	0.90	1.28	1.06	1.24	1.14	1.10	1.14	1.33	1.21
Rfd_L4	1.22	1.62	1.46	1.54	1.48	1.35	1.54	1.65	1.75
Rfd_Lss	1.37	2.88	1.57	1.79	1.69	1.49	1.79	1.98	2.07
