FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6
Size [pixels]	701	847	679	836	868	536
Fo	58.85	63.83	60.45	87.87	61.91	76.57
Fo_gauss	58.85	63.83	60.45	87.87	61.91	76.57
Fo_median	44.20	49.77	43.82	69.72	47.80	59.05
Fm	494.63	523.33	487.17	657.38	517.15	564.88
Fv	435.78	459.50	426.72	569.50	455.23	488.31
Fp	514.83	551.19	515.13	688.70	549.00	597.05
Fp-median	456.92	499.11	451.77	613.54	490.67	532.74
Fp-gauss	643.58	683.19	654.31	836.41	686.84	738.42
Fp-average	565.44	600.83	572.68	745.71	603.67	653.70
Fm_L1	441.17	459.02	431.84	539.05	449.45	497.97
Fm_L2	321.33	313.44	283.44	347.70	322.70	341.25
Fm_L3	262.57	263.65	228.70	302.57	271.35	268.20
Fm_L4	219.87	226.21	198.36	262.82	230.79	229.15
Fm_Lss	205.70	214.46	180.34	239.60	214.38	214.01
Fm_D1	392.19	419.65	370.37	495.00	401.76	464.88
Fm_D2	415.13	433.73	395.27	520.84	417.90	483.08
Fm_D3	420.37	442.41	402.83	526.65	420.64	483.80
Ft_L1	432.39	454.72	431.69	554.16	446.55	505.28
Ft_L2	320.78	318.25	293.25	346.37	320.05	345.91
Ft_L3	246.84	259.82	228.57	289.19	272.65	267.67
Ft_L4	204.62	222.08	194.03	256.67	227.26	231.23
Ft_Lss	186.17	203.16	177.30	235.47	210.15	212.55
Ft_D1	73.75	81.13	69.65	112.71	77.54	104.54
Ft_D2	79.21	85.89	77.10	112.88	79.26	98.07
Ft_D3	73.79	80.21	74.41	107.28	79.03	96.36
Fo_L1	57.94	62.68	59.43	85.27	60.74	75.12
Fo_L2	55.08	58.69	55.11	78.11	57.44	70.02
Fo_L3	52.88	56.59	52.45	75.48	55.46	66.05
Fo_L4	50.84	54.41	50.33	72.64	53.40	63.26
Fo_Lss	49.94	53.72	48.79	70.62	52.36	61.99
Fo_D1	56.90	61.83	57.55	84.04	59.74	74.27
Fo_D2	57.42	62.13	58.24	84.82	60.09	74.75
Fo_D3	57.49	62.32	58.35	84.94	60.17	74.79
Fv_L1	383.23	396.34	372.42	453.78	388.71	422.85
Fv_L2	266.25	254.75	228.33	269.58	265.26	271.23
Fv_L3	209.69	207.06	176.25	227.09	215.90	202.16
Fv_L4	169.03	171.81	148.04	190.18	177.38	165.89
Fv_Lss	155.76	160.74	131.54	168.98	162.01	152.02
Fv_D1	335.29	357.82	312.82	410.96	342.02	390.62
Fv_D2	357.72	371.60	337.04	436.02	357.82	408.33
Fv_D3	362.88	380.09	344.48	441.71	360.47	409.01
Fq_L1	8.79	4.31	0.15	-15.11	2.90	-7.32
Fq_L2	0.55	-4.81	-9.81	1.33	2.65	-4.66
Fq_L3	15.72	3.82	0.13	13.38	-1.30	0.53
Fq_L4	15.25	4.13	4.33	6.14	3.53	-2.07
Fq_Lss	19.53	11.30	3.03	4.13	4.23	1.46
Fq_D1	318.44	338.52	300.72	382.30	324.22	360.34
Fq_D2	335.92	347.84	318.17	407.96	338.65	385.01
Fq_D3	346.58	362.20	328.42	419.37	341.61	387.44
QY_max	0.88	0.88	0.88	0.87	0.88	0.87
Fv/Fm_L1	0.87	0.86	0.86	0.84	0.86	0.85
Fv/Fm_L2	0.83	0.81	0.80	0.77	0.82	0.79
Fv/Fm_L3	0.80	0.78	0.77	0.75	0.79	0.75
Fv/Fm_L4	0.77	0.75	0.74	0.72	0.76	0.72
Fv/Fm_Lss	0.75	0.75	0.72	0.70	0.75	0.71
Fv/Fm_D1	0.85	0.85	0.83	0.83	0.85	0.84
Fv/Fm_D2	0.86	0.86	0.84	0.84	0.85	0.84
Fv/Fm_D3	0.86	0.86	0.85	0.84	0.86	0.84
QY_L1	0.01	0.00	-0.02	-0.04	-0.01	-0.03
QY_L2	-0.03	-0.04	-0.06	-0.07	-0.01	-0.03
QY_L3	0.05	-0.02	-0.03	0.02	-0.02	-0.07
QY_L4	0.05	-0.02	-0.04	-0.06	-0.02	-0.05
QY_Lss	0.06	0.02	-0.02	-0.04	-0.01	-0.03
QY_D1	0.81	0.81	0.81	0.77	0.81	0.78
QY_D2	0.81	0.80	0.81	0.78	0.81	0.79
QY_D3	0.82	0.82	0.81	0.80	0.81	0.80
NPQ_L1	0.14	0.15	0.15	0.24	0.18	0.15
NPQ_L2	0.59	0.70	0.77	1.76	0.64	0.69
NPQ_L3	0.93	1.04	1.23	1.25	0.95	1.24
NPQ_L4	1.32	1.40	1.75	1.77	1.33	1.58
NPQ_Lss	1.53	1.52	1.98	1.91	1.52	1.75
NPQ_D1	0.32	0.26	0.47	0.37	0.33	0.25
NPQ_D2	0.23	0.22	0.34	0.31	0.28	0.20
NPQ_D3	0.23	0.20	0.34	0.28	0.27	0.20
qN_L1	0.12	0.13	0.12	0.20	0.14	0.13
qN_L2	0.39	0.45	0.46	0.53	0.41	0.44
qN_L3	0.52	0.55	0.59	0.61	0.52	0.59
qN_L4	0.61	0.63	0.65	0.67	0.61	0.67
qN_Lss	0.65	0.65	0.69	0.71	0.65	0.69
qN_D1	0.23	0.21	0.26	0.28	0.25	0.20
qN_D2	0.18	0.19	0.20	0.24	0.21	0.16
qN_D3	0.17	0.17	0.18	0.23	0.20	0.17
qP_L1	0.00	0.00	-0.03	-0.05	-0.01	-0.04
qP_L2	-0.05	-0.05	-0.08	-2.93	-0.02	-0.04
qP_L3	0.05	-0.03	-0.05	0.02	-0.04	-0.45
qP_L4	0.06	-0.04	-0.17	-1.21	-0.04	-0.09
qP_Lss	0.06	0.02	-0.06	-0.31	-0.03	-0.06
qP_D1	0.95	0.95	0.97	0.93	0.95	0.93
qP_D2	0.94	0.94	0.96	0.94	0.94	0.94
qP_D3	0.95	0.96	0.97	0.95	0.95	0.95
qL_L1	-0.16	-0.12	-0.46	-0.44	-0.28	-0.46
qL_L2	-1.09	-0.51	-0.73	-156.49	-0.39	-0.42
qL_L3	-0.03	-0.47	-0.62	-0.19	-0.52	-15.89
qL_L4	-0.06	-0.58	-2.18	-63.20	-0.70	-0.88
qL_Lss	-0.23	-0.35	-0.76	-9.20	-0.48	-0.69
qL_D1	1.22	1.25	1.17	1.24	1.23	1.29
qL_D2	1.30	1.30	1.24	1.24	1.25	1.25
qL_D3	1.23	1.24	1.22	1.21	1.24	1.21
Rfd_L1	0.22	0.24	0.23	0.30	0.28	0.22
Rfd_L2	0.68	0.80	0.86	1.24	0.79	0.86
Rfd_L3	1.26	1.22	1.43	1.58	1.13	1.40
Rfd_L4	1.84	1.78	2.02	1.89	1.58	1.90
Rfd_Lss	2.33	2.45	2.57	2.28	1.86	2.06
