FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10
Size [pixels]	1012	748	798	535	895	455	664	1378	1008	1192
Fo	78.02	65.77	61.49	57.65	45.58	52.65	46.08	75.05	70.75	59.05
Fo_gauss	78.02	65.77	61.49	57.65	45.58	52.65	46.08	75.05	70.75	59.05
Fo_median	62.19	51.42	46.77	42.51	33.59	38.13	33.91	59.60	55.54	45.02
Fm	624.99	546.85	514.15	459.84	395.12	443.65	397.36	604.25	555.19	501.65
Fv	546.96	481.08	452.66	402.19	349.54	391.00	351.27	529.19	484.45	442.60
Fp	653.46	579.94	536.59	493.63	425.80	470.51	430.48	634.09	583.10	520.22
Fp-median	591.74	523.37	478.99	433.01	375.88	413.85	375.92	571.06	521.18	469.03
Fp-gauss	795.63	721.04	664.24	633.01	553.20	606.15	568.39	780.76	721.49	646.21
Fp-average	706.06	633.92	586.34	546.03	473.13	522.23	482.55	689.72	636.78	569.88
Fm_L1	540.04	481.63	465.61	397.27	348.99	382.65	349.40	515.91	487.32	448.93
Fm_L2	372.33	376.63	353.80	278.53	247.79	271.09	265.39	381.10	348.91	312.85
Fm_L3	308.22	316.42	289.79	211.18	204.72	204.58	216.25	331.92	261.33	255.63
Fm_L4	277.53	288.20	256.69	179.27	181.09	174.71	190.66	296.84	222.05	226.96
Fm_Lss	254.14	276.64	236.86	167.22	168.73	159.82	181.22	279.89	203.01	216.45
Fm_D1	488.83	410.42	407.94	330.43	310.99	331.93	304.12	459.85	429.02	404.98
Fm_D2	502.24	433.18	431.33	354.01	325.20	349.52	325.01	472.85	451.67	420.77
Fm_D3	503.05	437.00	432.66	356.23	326.62	355.72	327.14	475.68	453.66	424.89
Ft_L1	538.59	490.76	458.25	407.53	346.07	384.26	348.04	527.05	495.06	437.07
Ft_L2	371.83	387.12	357.96	276.38	255.47	274.54	265.63	379.11	352.20	321.15
Ft_L3	300.88	306.88	283.90	214.08	201.94	205.17	212.04	318.77	260.62	253.57
Ft_L4	264.63	277.33	244.73	177.29	175.30	178.96	190.16	286.08	224.00	217.29
Ft_Lss	246.92	262.27	225.81	160.59	160.71	156.65	177.75	264.39	194.59	197.90
Ft_D1	96.58	86.20	81.70	71.27	56.35	66.06	58.75	97.06	87.92	73.55
Ft_D2	101.54	86.27	83.62	65.69	57.36	66.26	60.74	100.59	86.19	78.85
Ft_D3	99.56	88.09	78.62	70.68	58.85	66.18	63.16	97.15	84.50	74.35
Fo_L1	76.47	64.68	60.69	56.42	44.80	51.61	45.31	73.43	69.49	58.19
Fo_L2	71.65	62.20	58.13	52.95	42.36	48.61	43.32	69.76	65.54	54.90
Fo_L3	68.70	60.20	55.97	49.63	40.69	45.73	41.64	67.79	61.46	52.67
Fo_L4	66.93	59.00	54.54	47.35	39.58	43.89	40.44	66.09	58.79	51.19
Fo_Lss	65.25	58.46	53.50	46.33	38.88	42.83	39.99	65.12	57.19	50.57
Fo_D1	75.08	63.10	59.55	54.55	44.03	50.43	44.36	72.03	67.95	57.29
Fo_D2	75.40	63.67	60.02	55.20	44.32	50.91	44.79	72.35	68.56	57.63
Fo_D3	75.44	63.75	60.06	55.27	44.37	51.03	44.87	72.43	68.59	57.73
Fv_L1	463.57	416.95	404.91	340.85	304.19	331.04	304.09	442.48	417.83	390.75
Fv_L2	300.68	314.43	295.68	225.59	205.43	222.49	222.07	311.34	283.37	257.95
Fv_L3	239.52	256.22	233.82	161.55	164.03	158.85	174.61	264.13	199.87	202.96
Fv_L4	210.60	229.20	202.15	131.91	141.51	130.82	150.21	230.76	163.26	175.76
Fv_Lss	188.88	218.18	183.36	120.89	129.85	117.00	141.23	214.78	145.82	165.89
Fv_D1	413.75	347.32	348.39	275.88	266.96	281.49	259.76	387.82	361.07	347.69
Fv_D2	426.83	369.51	371.31	298.81	280.88	298.60	280.22	400.49	383.12	363.14
Fv_D3	427.61	373.25	372.60	300.96	282.25	304.69	282.27	403.25	385.07	367.15
Fq_L1	1.46	-9.13	7.35	-10.25	2.92	-1.61	1.36	-11.14	-7.74	11.87
Fq_L2	0.50	-10.49	-4.16	2.16	-7.68	-3.45	-0.23	1.99	-3.29	-8.30
Fq_L3	7.34	9.54	5.89	-2.90	2.78	-0.59	4.21	13.15	0.71	2.06
Fq_L4	12.91	10.87	11.96	1.98	5.79	-4.25	0.50	10.76	-1.95	9.66
Fq_Lss	7.21	14.37	11.05	6.63	8.02	3.17	3.46	15.50	8.42	18.55
Fq_D1	392.26	324.22	326.23	259.17	254.64	265.87	245.37	362.79	341.10	331.43
Fq_D2	400.70	346.91	347.72	288.32	267.83	283.26	264.27	372.26	365.49	341.92
Fq_D3	403.49	348.90	354.04	285.55	267.77	289.55	263.98	378.53	369.16	350.54
QY_max	0.88	0.88	0.88	0.87	0.88	0.88	0.88	0.88	0.87	0.88
Fv/Fm_L1	0.86	0.87	0.87	0.86	0.87	0.86	0.87	0.86	0.86	0.87
Fv/Fm_L2	0.81	0.83	0.83	0.81	0.82	0.82	0.83	0.81	0.81	0.82
Fv/Fm_L3	0.77	0.81	0.80	0.76	0.79	0.77	0.80	0.79	0.76	0.79
Fv/Fm_L4	0.75	0.79	0.78	0.73	0.77	0.74	0.78	0.77	0.73	0.77
Fv/Fm_Lss	0.74	0.79	0.77	0.71	0.76	0.73	0.77	0.76	0.71	0.76
Fv/Fm_D1	0.84	0.84	0.85	0.83	0.85	0.84	0.85	0.84	0.84	0.86
Fv/Fm_D2	0.84	0.85	0.86	0.84	0.86	0.85	0.86	0.84	0.84	0.86
Fv/Fm_D3	0.85	0.85	0.86	0.84	0.86	0.85	0.86	0.84	0.84	0.86
QY_L1	-0.01	-0.03	0.00	-0.05	-0.01	-0.02	-0.01	-0.03	-0.02	0.02
QY_L2	-0.01	-0.04	-0.02	-0.02	-0.07	-0.04	-0.03	-0.01	-0.02	-0.04
QY_L3	-0.00	0.02	-0.00	-0.06	-0.02	-0.04	-0.03	0.03	-0.02	-0.02
QY_L4	0.02	0.01	0.02	-0.05	-0.02	-0.08	-0.05	0.02	-0.04	0.02
QY_Lss	-0.00	0.03	0.03	-0.02	-0.00	-0.04	-0.03	0.03	-0.43	0.06
QY_D1	0.80	0.79	0.80	0.78	0.82	0.79	0.80	0.79	0.79	0.82
QY_D2	0.80	0.80	0.81	0.82	0.82	0.81	0.81	0.79	0.81	0.81
QY_D3	0.80	0.80	0.81	0.80	0.82	0.81	0.81	0.79	0.81	0.82
NPQ_L1	0.17	0.15	0.12	0.18	0.17	0.20	0.17	0.20	0.16	0.13
NPQ_L2	0.71	0.48	0.48	0.69	0.68	0.69	0.56	0.63	0.63	0.63
NPQ_L3	1.11	0.76	0.83	1.29	1.03	1.26	0.93	0.88	1.20	1.02
NPQ_L4	1.36	0.95	1.07	1.76	1.33	1.69	1.20	1.12	1.66	1.28
NPQ_Lss	1.62	1.04	1.27	1.98	1.57	1.99	1.32	1.30	2.85	1.42
NPQ_D1	0.38	0.37	0.29	0.49	0.35	0.43	0.36	0.38	0.41	0.28
NPQ_D2	0.36	0.29	0.22	0.39	0.27	0.33	0.27	0.35	0.32	0.22
NPQ_D3	0.34	0.28	0.24	0.38	0.28	0.31	0.26	0.35	0.31	0.21
qN_L1	0.15	0.13	0.10	0.14	0.12	0.15	0.12	0.16	0.14	0.11
qN_L2	0.45	0.34	0.34	0.43	0.41	0.42	0.36	0.41	0.41	0.42
qN_L3	0.56	0.47	0.49	0.59	0.53	0.59	0.50	0.50	0.59	0.54
qN_L4	0.62	0.53	0.56	0.67	0.60	0.67	0.57	0.57	0.67	0.61
qN_Lss	0.66	0.55	0.60	0.70	0.63	0.70	0.60	0.60	0.71	0.63
qN_D1	0.24	0.28	0.23	0.31	0.24	0.29	0.26	0.27	0.26	0.21
qN_D2	0.22	0.23	0.18	0.26	0.19	0.24	0.20	0.24	0.21	0.18
qN_D3	0.22	0.22	0.18	0.25	0.19	0.22	0.19	0.24	0.21	0.17
qP_L1	-0.01	-0.04	-0.00	-0.06	-0.01	-0.03	-0.02	-0.04	-0.03	0.02
qP_L2	-0.02	-0.06	-0.03	-0.03	-0.10	-0.05	-0.05	-0.01	-0.04	-0.06
qP_L3	-0.01	0.02	-0.01	-0.10	-0.04	-0.07	-0.05	0.03	-0.03	-0.03
qP_L4	0.02	0.01	0.02	-0.13	-0.08	-0.13	-0.08	0.02	-0.07	0.01
qP_Lss	-0.02	0.03	0.03	-0.06	-0.02	-0.19	-0.06	-0.01	-65.09	0.06
qP_D1	0.96	0.93	0.94	0.95	0.96	0.94	0.94	0.94	0.95	0.96
qP_D2	0.95	0.94	0.94	0.98	0.96	0.95	0.94	0.94	0.96	0.94
qP_D3	0.95	0.93	0.94	0.96	0.96	0.95	0.94	0.94	0.96	0.96
qL_L1	-0.28	-0.52	-0.23	-0.64	-0.40	-0.53	-0.57	-0.44	-0.44	0.01
qL_L2	-0.24	-0.61	-0.36	-0.52	-1.16	-0.65	-0.82	-0.29	-0.44	-0.55
qL_L3	-0.36	-0.20	-0.38	-1.02	-0.70	-0.88	-1.01	-0.08	-0.50	-0.46
qL_L4	-0.21	-0.27	-0.28	-1.32	-2.40	-1.51	-1.04	-0.13	-0.68	-0.27
qL_Lss	-0.44	-0.14	-0.31	-1.00	-0.90	-3.20	-1.10	-0.61	-29984.94	-0.13
qL_D1	1.21	1.27	1.26	1.20	1.22	1.23	1.24	1.25	1.21	1.23
qL_D2	1.26	1.28	1.29	1.14	1.22	1.25	1.26	1.29	1.19	1.30
qL_D3	1.25	1.30	0.92	1.23	1.26	1.23	1.31	1.25	1.18	1.24
Rfd_L1	0.25	0.21	0.25	0.26	0.29	0.30	0.29	0.24	0.28	0.22
Rfd_L2	0.88	0.56	0.58	0.95	0.79	0.94	0.74	0.79	0.77	0.67
Rfd_L3	1.31	1.00	1.06	1.58	1.33	1.61	1.23	1.14	1.66	1.16
Rfd_L4	2.15	1.22	1.44	2.29	1.84	2.03	1.51	1.40	2.22	1.66
Rfd_Lss	1.97	1.37	1.82	3.20	2.23	2.71	1.83	1.64	2.67	1.91
