FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9
Ft_D3	85.44	114.83	109.29	103.68	92.11	99.69	91.43	75.01	75.55
Fo_L1	67.84	94.84	88.69	92.67	77.86	84.89	75.71	68.69	60.30
Fo_L2	65.21	87.48	84.24	85.89	73.80	78.81	69.59	64.83	56.24
Fo_L3	63.06	84.72	80.89	81.80	71.05	76.11	67.34	61.42	54.21
Fo_L4	61.30	81.57	78.27	79.29	69.52	74.05	64.91	59.58	52.47
Fo_Lss	60.82	79.39	77.01	77.05	67.95	72.81	62.93	57.47	51.77
Fo_D1	66.53	93.85	86.66	91.09	76.44	83.19	75.41	67.82	59.57
Fo_D2	67.07	94.54	87.51	91.95	76.82	83.86	75.72	68.15	59.88
Fo_D3	67.07	94.63	87.63	91.91	76.91	83.94	75.78	68.25	59.76
Fv_L1	422.94	482.24	520.53	477.68	461.40	483.09	391.87	392.54	364.28
Fv_L2	320.41	299.99	368.05	302.43	320.35	302.81	240.13	271.27	231.43
Fv_L3	261.05	256.01	291.80	237.82	258.90	249.76	203.09	204.47	191.12
Fv_L4	223.14	214.93	246.27	205.40	231.91	218.34	172.71	173.78	163.99
Fv_Lss	213.46	191.32	228.49	182.07	208.92	201.76	151.14	149.33	152.73
Fv_D1	366.60	450.26	441.21	425.75	402.97	417.56	381.77	358.71	331.13
Fv_D2	389.60	473.40	472.38	449.05	418.51	441.77	392.32	369.88	345.65
Fv_D3	390.28	475.88	477.14	452.00	422.71	446.48	394.24	374.39	340.26
Fq_L1	-2.73	-20.97	0.70	-5.20	-8.29	-4.78	-23.32	-5.81	4.59
Fq_L2	3.60	-2.34	-2.55	-6.54	-11.56	-11.79	-1.02	-9.46	4.55
Fq_L3	6.85	4.39	2.46	5.45	-0.44	0.94	1.38	-7.64	3.60
Fq_L4	9.34	5.27	11.92	2.76	15.90	6.40	4.72	4.71	1.27
Fq_Lss	12.52	5.51	12.61	2.34	6.31	10.50	-1.34	1.80	10.85
Fq_D1	351.45	427.20	423.32	404.64	385.51	397.84	362.20	343.82	315.51
Fq_D2	376.37	451.32	450.67	431.89	399.28	419.83	370.85	357.75	326.95
Fq_D3	371.91	455.68	455.48	440.24	407.51	430.72	378.59	367.63	324.47
QY_max	0.87	0.86	0.87	0.86	0.87	0.87	0.86	0.87	0.87
Fv/Fm_L1	0.86	0.84	0.85	0.84	0.85	0.85	0.84	0.85	0.86
Fv/Fm_L2	0.83	0.77	0.81	0.78	0.81	0.79	0.77	0.81	0.80
Fv/Fm_L3	0.80	0.75	0.78	0.74	0.78	0.77	0.75	0.77	0.77
Fv/Fm_L4	0.78	0.72	0.76	0.72	0.77	0.75	0.72	0.74	0.75
Fv/Fm_Lss	0.77	0.70	0.75	0.70	0.75	0.73	0.70	0.72	0.74
Fv/Fm_D1	0.85	0.83	0.83	0.82	0.84	0.83	0.83	0.84	0.85
Fv/Fm_D2	0.85	0.83	0.84	0.83	0.84	0.84	0.84	0.84	0.85
Fv/Fm_D3	0.85	0.83	0.84	0.83	0.84	0.84	0.84	0.84	0.85
QY_L1	-0.02	-0.04	-0.01	-0.02	-0.03	-0.01	-0.06	-0.02	0.00
QY_L2	-0.01	-0.02	-0.01	-0.03	-0.04	-0.05	-0.02	-0.04	-0.01
QY_L3	0.00	-0.01	-0.01	-0.00	-0.02	-0.01	-0.02	-0.07	-0.01
QY_L4	0.01	-0.01	0.02	-0.01	0.04	0.00	-0.00	-0.01	-0.04
QY_Lss	0.02	-0.00	0.03	-0.03	-0.01	0.02	-0.04	-0.03	0.02
QY_D1	0.81	0.79	0.80	0.79	0.80	0.80	0.79	0.81	0.81
QY_D2	0.82	0.79	0.80	0.80	0.80	0.80	0.79	0.82	0.80
QY_D3	0.81	0.80	0.81	0.81	0.81	0.82	0.81	0.83	0.81
NPQ_L1	0.12	0.22	0.12	0.16	0.14	0.14	0.24	0.14	0.14
NPQ_L2	0.44	0.83	0.52	0.71	0.57	0.71	0.88	0.57	0.70
NPQ_L3	0.72	1.10	0.84	1.09	0.88	1.01	1.18	1.01	1.00
NPQ_L4	0.97	1.43	1.13	1.36	1.08	1.25	1.47	1.28	1.31
NPQ_Lss	1.05	1.69	1.27	1.59	1.29	1.40	1.78	1.60	1.42
NPQ_D1	0.28	0.31	0.31	0.29	0.30	0.33	0.27	0.24	0.24
NPQ_D2	0.21	0.26	0.24	0.22	0.26	0.25	0.25	0.21	0.20
NPQ_D3	0.22	0.25	0.23	0.23	0.25	0.24	0.24	0.20	0.22
qN_L1	0.10	0.20	0.11	0.14	0.12	0.12	0.20	0.12	0.12
qN_L2	0.33	0.50	0.37	0.46	0.40	0.46	0.51	0.38	0.44
qN_L3	0.45	0.58	0.51	0.58	0.51	0.56	0.59	0.54	0.54
qN_L4	0.54	0.65	0.59	0.64	0.57	0.61	0.65	0.61	0.61
qN_Lss	0.56	0.69	0.62	0.68	0.61	0.64	0.70	0.67	0.64
qN_D1	0.23	0.25	0.25	0.24	0.24	0.25	0.22	0.20	0.19
qN_D2	0.18	0.22	0.20	0.19	0.21	0.21	0.20	0.17	0.16
qN_D3	0.18	0.21	0.19	0.19	0.20	0.20	0.20	0.16	0.17
qP_L1	-0.02	-0.06	-0.01	-0.02	-0.03	-0.02	-0.07	-0.02	-0.00
qP_L2	-0.01	-0.03	-0.02	-0.04	-0.05	-0.06	-0.04	-0.06	-0.01
qP_L3	-0.00	-0.02	-0.01	-0.01	-0.03	-0.02	-0.03	-0.10	-0.03
qP_L4	0.01	-0.02	0.02	-0.03	0.04	-0.00	-0.02	-0.01	-0.11
qP_Lss	0.02	-0.01	0.03	-0.05	-0.03	0.02	-0.08	-0.05	0.02
qP_D1	0.96	0.95	0.96	0.96	0.96	0.96	0.95	0.96	0.95
qP_D2	0.97	0.96	0.96	0.97	0.96	0.95	0.95	0.97	0.94
qP_D3	0.95	0.96	0.96	0.98	0.97	0.97	0.96	0.98	0.95
qL_L1	-0.30	-0.49	-0.16	-0.24	-0.39	-0.24	-0.66	-0.31	-0.16
qL_L2	-0.25	-0.31	-0.26	-0.32	-0.49	-0.50	-0.40	-0.53	-0.33
qL_L3	-0.19	-0.23	-0.22	-0.21	-0.33	-0.27	-0.45	-0.88	-0.43
qL_L4	-0.21	-0.31	-0.09	-0.35	-0.02	-0.32	-0.38	-0.39	-1.19
qL_Lss	-0.17	-0.30	-0.06	-0.59	-0.38	-0.22	-0.64	-0.66	-0.29
qL_D1	1.18	1.17	1.16	1.15	1.17	1.16	1.18	1.17	1.22
qL_D2	1.16	1.18	1.19	1.12	1.19	1.18	1.21	1.11	1.26
qL_D3	1.23	1.16	1.19	1.09	1.14	1.12	1.15	1.06	1.23
Rfd_L1	0.19	0.24	0.17	0.20	0.17	0.18	0.24	0.20	0.26
Rfd_L2	0.54	0.92	0.59	0.75	0.60	0.73	0.99	0.63	0.90
Rfd_L3	0.87	1.25	0.95	1.26	0.98	1.14	1.41	1.08	1.25
Rfd_L4	1.21	1.63	1.34	1.51	1.38	1.42	1.74	1.52	1.54
Rfd_Lss	1.45	1.94	1.52	1.77	1.51	1.70	1.98	1.87	1.92
