FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13
Fv/Fm_L2	0.82	0.80	0.81	0.82	0.81	0.85	0.82	0.78	0.83	0.81	0.83	0.81	0.83
Fv/Fm_L3	0.79	0.77	0.77	0.79	0.78	0.82	0.79	0.75	0.80	0.78	0.80	0.77	0.81
Fv/Fm_L4	0.77	0.75	0.74	0.77	0.75	0.79	0.77	0.72	0.77	0.75	0.79	0.75	0.78
Fv/Fm_Lss	0.76	0.74	0.72	0.75	0.74	0.78	0.75	0.70	0.76	0.73	0.77	0.73	0.78
Fv/Fm_D1	0.84	0.83	0.84	0.83	0.85	0.85	0.84	0.83	0.85	0.85	0.86	0.85	0.84
Fv/Fm_D2	0.85	0.84	0.84	0.84	0.85	0.87	0.85	0.84	0.86	0.85	0.86	0.85	0.85
Fv/Fm_D3	0.85	0.84	0.84	0.85	0.85	0.87	0.85	0.83	0.86	0.85	0.86	0.85	0.85
QY_L1	0.02	-0.04	-0.00	0.00	0.02	0.03	-0.01	-0.06	-0.03	0.02	0.04	-0.02	-0.03
QY_L2	-0.05	-0.02	-0.03	-0.02	-0.03	0.00	-0.01	-0.01	-0.05	-0.04	-0.06	-0.05	-0.06
QY_L3	0.01	-0.00	-0.03	-0.02	-0.01	0.02	0.00	0.01	-0.05	-0.03	-0.07	-0.05	-0.03
QY_L4	0.02	-0.00	-0.02	-0.01	-0.01	0.08	0.01	0.01	-0.06	0.00	-0.03	-0.05	-0.05
QY_Lss	0.03	0.01	-0.02	-0.01	0.00	0.11	0.01	-0.01	-0.08	0.04	0.01	-0.05	-0.05
QY_D1	0.80	0.79	0.80	0.80	0.81	0.81	0.80	0.78	0.82	0.81	0.82	0.81	0.80
QY_D2	0.82	0.79	0.81	0.81	0.82	0.82	0.81	0.80	0.82	0.82	0.84	0.83	0.81
QY_D3	0.82	0.80	0.81	0.82	0.83	0.83	0.81	0.81	0.82	0.82	0.82	0.82	0.82
NPQ_L1	0.13	0.18	0.13	0.13	0.12	0.12	0.12	0.29	0.17	0.16	0.20	0.16	0.17
NPQ_L2	0.58	0.74	0.60	0.55	0.67	0.39	0.49	0.92	0.63	0.72	0.66	0.72	0.51
NPQ_L3	0.90	1.03	1.08	0.88	1.04	0.68	0.82	1.18	0.97	1.08	0.98	1.13	0.79
NPQ_L4	1.20	1.34	1.40	1.11	1.35	1.00	1.10	1.60	1.33	1.42	1.21	1.47	1.17
NPQ_Lss	1.30	1.45	1.69	1.33	1.53	1.15	1.28	1.89	1.48	1.62	1.45	1.81	1.21
NPQ_D1	0.34	0.43	0.34	0.40	0.26	0.33	0.31	0.38	0.41	0.29	0.34	0.28	0.45
NPQ_D2	0.22	0.31	0.27	0.30	0.20	0.19	0.22	0.31	0.29	0.24	0.28	0.23	0.32
NPQ_D3	0.22	0.32	0.27	0.27	0.21	0.18	0.21	0.33	0.29	0.23	0.26	0.23	0.33
qN_L1	0.11	0.16	0.11	0.11	0.11	0.11	0.11	0.23	0.12	0.14	0.14	0.12	0.10
qN_L2	0.39	0.47	0.41	0.38	0.44	0.30	0.36	0.52	0.39	0.45	0.39	0.44	0.32
qN_L3	0.52	0.56	0.57	0.51	0.56	0.44	0.50	0.59	0.50	0.56	0.50	0.56	0.44
qN_L4	0.60	0.62	0.64	0.57	0.63	0.54	0.58	0.67	0.58	0.64	0.56	0.63	0.55
qN_Lss	0.62	0.64	0.68	0.62	0.66	0.58	0.62	0.71	0.61	0.67	0.61	0.68	0.56
qN_D1	0.27	0.31	0.26	0.29	0.22	0.26	0.26	0.27	0.27	0.23	0.23	0.21	0.29
qN_D2	0.19	0.24	0.21	0.22	0.17	0.16	0.19	0.23	0.19	0.20	0.19	0.17	0.21
qN_D3	0.18	0.23	0.21	0.20	0.18	0.16	0.18	0.23	0.19	0.19	0.18	0.17	0.22
qP_L1	0.02	-0.04	-0.00	0.00	0.02	0.04	-0.01	-0.07	-0.04	0.02	0.04	-0.03	-0.04
qP_L2	-0.06	-0.03	-0.04	-0.02	-0.04	0.00	-0.01	-0.02	-0.07	-0.05	-0.09	-0.06	-0.08
qP_L3	0.01	-0.01	-0.05	-0.03	-0.02	0.02	0.00	0.00	-0.08	-0.04	-0.11	-0.10	-0.05
qP_L4	0.03	-0.01	-0.05	-0.02	-0.03	0.09	0.01	-0.00	-0.12	-0.01	-0.06	-0.09	-0.08
qP_Lss	0.03	0.00	-0.05	-0.03	-0.01	0.14	0.01	-0.04	-0.14	0.04	-0.01	-0.12	-0.10
qP_D1	0.96	0.95	0.96	0.97	0.95	0.95	0.96	0.94	0.97	0.96	0.96	0.95	0.95
qP_D2	0.96	0.95	0.96	0.96	0.96	0.95	0.95	0.96	0.96	0.96	0.97	0.97	0.95
qP_D3	0.97	0.96	0.97	0.97	0.97	0.96	0.96	0.97	0.96	0.96	0.95	0.96	0.96
qL_L1	0.02	-0.45	-0.21	-0.12	-0.00	0.16	-0.18	-0.60	-0.78	-0.01	-0.16	-0.52	-0.81
qL_L2	-0.54	-0.37	-0.42	-0.31	-0.45	-0.14	-0.24	-0.32	-1.06	-0.52	-1.23	-0.85	-1.11
qL_L3	-0.13	-0.25	-0.53	-0.42	-0.41	-0.10	-0.17	-0.20	-1.16	-0.45	-1.57	-1.20	-0.97
qL_L4	-0.15	-0.30	-0.50	-0.33	-0.37	0.19	-0.17	-0.28	-1.40	-0.36	-1.24	-0.99	-1.14
qL_Lss	-0.16	-0.30	-0.60	-0.49	-0.36	0.33	-0.24	-0.50	-1.63	-0.22	-1.02	-1.09	-1.29
qL_D1	1.19	1.17	1.16	1.13	1.22	1.22	1.18	1.20	1.15	1.18	1.19	1.23	1.18
qL_D2	1.18	1.23	1.15	1.18	1.20	1.26	1.21	1.20	1.22	1.18	1.19	1.16	1.23
qL_D3	1.17	1.18	1.13	1.16	1.14	1.25	1.20	1.16	1.22	1.17	1.25	1.20	1.19
Rfd_L1	0.20	0.21	0.21	0.21	0.21	0.22	0.20	0.30	0.31	0.26	0.43	0.26	0.30
Rfd_L2	0.58	0.87	0.66	0.64	0.74	0.46	0.60	1.05	0.86	0.78	0.81	0.90	0.67
Rfd_L3	1.06	1.20	1.24	1.03	1.22	0.82	0.99	1.41	1.28	1.20	1.27	1.42	1.09
Rfd_L4	1.44	1.59	1.65	1.30	1.56	1.53	1.33	1.88	1.89	1.70	1.68	1.78	1.52
Rfd_Lss	1.58	1.73	2.14	2.33	2.07	1.64	1.56	2.50	2.08	2.11	2.42	2.30	1.73
