FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9
Size [pixels]	1546	1912	1184	2183	611	960	1558	837	537
Fo	55.26	73.70	49.21	62.37	51.50	105.67	75.41	48.73	102.72
Fo_gauss	55.26	73.70	49.21	62.37	51.50	105.67	75.41	48.73	102.72
Fo_median	42.68	58.94	36.11	48.72	38.32	86.65	59.84	37.00	86.40
Fm	458.82	587.22	416.78	513.75	429.17	782.77	593.04	418.25	705.75
Fv	403.56	513.51	367.57	451.38	377.66	677.10	517.63	369.52	603.03
Fp	493.81	619.46	443.59	557.83	470.86	805.64	625.15	446.91	741.01
Fp-median	444.58	560.73	391.09	502.46	414.97	727.78	565.12	399.34	680.82
Fp-gauss	623.76	763.87	573.75	696.41	608.94	959.60	757.43	568.68	895.82
Fp-average	540.80	673.48	493.52	608.28	523.81	864.75	675.48	491.78	799.35
Fm_L1	392.12	471.78	360.50	422.00	347.69	664.97	519.68	372.73	587.11
Fm_L2	268.58	310.18	241.23	284.39	244.09	427.03	334.81	247.57	370.37
Fm_L3	222.41	257.33	201.47	232.53	210.42	349.27	269.01	203.78	312.65
Fm_L4	184.61	211.84	167.38	191.28	173.41	294.54	225.35	170.12	261.29
Fm_Lss	166.16	193.54	150.39	172.96	158.08	265.21	206.03	154.90	239.78
Fm_D1	392.00	462.37	349.79	394.03	348.00	593.60	488.13	336.04	552.38
Fm_D2	399.32	480.85	367.25	415.61	366.69	652.10	517.91	369.43	596.91
Fm_D3	401.62	486.74	361.91	419.81	363.89	665.54	522.27	370.45	610.72
Ft_L1	392.01	487.79	361.15	437.89	359.07	670.35	515.60	368.89	607.32
Ft_L2	266.87	307.95	244.74	283.94	245.65	425.25	340.05	254.48	374.15
Ft_L3	225.22	252.58	200.59	230.23	205.70	335.50	265.86	201.69	310.10
Ft_L4	184.16	209.47	164.72	189.98	172.89	282.15	217.98	161.28	258.17
Ft_Lss	160.37	190.22	147.71	171.65	159.56	247.61	195.86	139.63	227.95
Ft_D1	73.72	92.44	65.39	78.51	69.94	127.58	96.95	64.73	132.51
Ft_D2	72.75	91.43	64.04	78.41	70.72	129.13	97.98	66.00	126.93
Ft_D3	69.83	90.10	62.97	77.74	64.54	128.43	93.94	64.24	125.46
Fo_L1	54.11	71.42	48.22	60.68	50.00	103.12	74.01	47.99	99.71
Fo_L2	50.62	65.93	45.01	56.46	46.84	94.65	68.37	44.83	90.39
Fo_L3	48.56	62.99	43.23	53.87	45.36	90.04	64.99	43.04	86.33
Fo_L4	46.32	59.62	41.24	51.04	43.13	85.73	61.88	41.06	81.65
Fo_Lss	44.91	57.93	39.95	49.54	42.03	82.84	60.21	40.06	79.36
Fo_D1	54.09	71.15	48.04	59.96	50.04	101.05	73.31	47.26	98.60
Fo_D2	54.24	71.57	48.37	60.45	50.47	102.70	74.00	47.91	100.00
Fo_D3	54.30	71.71	48.25	60.52	50.42	103.05	74.07	47.92	100.38
Fv_L1	338.00	400.36	312.28	361.32	297.69	561.85	445.67	324.74	487.40
Fv_L2	217.96	244.26	196.22	227.93	197.25	332.38	266.44	202.74	279.98
Fv_L3	173.85	194.34	158.24	178.65	165.06	259.23	204.03	160.74	226.31
Fv_L4	138.30	152.22	126.14	140.24	130.28	208.82	163.46	129.06	179.64
Fv_Lss	121.25	135.61	110.44	123.43	116.05	182.38	145.82	114.85	160.42
Fv_D1	337.90	391.23	301.75	334.07	297.95	492.55	414.82	288.78	453.78
Fv_D2	345.08	409.28	318.88	355.16	316.23	549.40	443.92	321.52	496.91
Fv_D3	347.32	415.03	313.66	359.29	313.47	562.49	448.21	322.53	510.33
Fq_L1	0.11	-16.01	-0.65	-15.89	-11.38	-5.37	4.07	3.84	-20.21
Fq_L2	1.71	2.23	-3.51	0.45	-1.56	1.78	-5.24	-6.91	-3.78
Fq_L3	-2.81	4.75	0.88	2.30	4.72	13.77	3.16	2.09	2.55
Fq_L4	0.45	2.38	2.66	1.30	0.53	12.39	7.36	8.83	3.12
Fq_Lss	5.79	3.32	2.68	1.31	-1.48	17.61	10.17	15.27	11.83
Fq_D1	318.27	369.94	284.40	315.52	278.06	466.03	391.18	271.31	419.87
Fq_D2	326.57	389.42	303.21	337.21	295.97	522.96	419.93	303.43	469.98
Fq_D3	331.79	396.65	298.94	342.07	299.35	537.11	428.34	306.21	485.26
QY_max	0.88	0.87	0.88	0.88	0.88	0.87	0.87	0.88	0.85
Fv/Fm_L1	0.86	0.85	0.87	0.85	0.85	0.85	0.86	0.87	0.83
Fv/Fm_L2	0.81	0.79	0.81	0.80	0.80	0.78	0.79	0.82	0.75
Fv/Fm_L3	0.78	0.75	0.78	0.76	0.78	0.74	0.76	0.79	0.72
Fv/Fm_L4	0.74	0.71	0.75	0.72	0.74	0.70	0.72	0.75	0.69
Fv/Fm_Lss	0.72	0.69	0.73	0.70	0.73	0.68	0.70	0.73	0.67
Fv/Fm_D1	0.86	0.84	0.86	0.84	0.85	0.83	0.85	0.86	0.82
Fv/Fm_D2	0.86	0.85	0.87	0.85	0.86	0.84	0.86	0.87	0.83
Fv/Fm_D3	0.86	0.85	0.87	0.85	0.86	0.84	0.86	0.87	0.84
QY_L1	-0.02	-0.04	-0.02	-0.05	-0.06	-0.02	0.00	-0.00	-0.05
QY_L2	-0.02	-0.02	-0.05	-0.02	-0.04	-0.01	-0.03	-0.05	-0.04
QY_L3	-0.05	-0.01	-0.03	-0.02	-0.02	0.02	-0.01	-0.01	-0.01
QY_L4	-0.04	-0.02	-0.03	-0.04	-0.04	0.03	0.00	0.02	-0.01
QY_Lss	-0.01	-0.03	-0.04	-0.05	-0.06	0.04	0.02	0.05	0.02
QY_D1	0.81	0.80	0.81	0.80	0.80	0.78	0.80	0.81	0.76
QY_D2	0.82	0.81	0.82	0.81	0.80	0.80	0.81	0.82	0.79
QY_D3	0.83	0.81	0.82	0.81	0.82	0.81	0.82	0.82	0.79
NPQ_L1	0.20	0.26	0.18	0.24	0.26	0.19	0.16	0.14	0.21
NPQ_L2	0.76	0.94	0.79	0.86	0.82	0.86	0.80	0.73	0.95
NPQ_L3	1.16	1.37	1.15	1.29	1.11	1.30	1.26	1.09	1.30
NPQ_L4	1.61	1.92	1.63	1.85	1.59	1.78	1.75	1.57	1.75
NPQ_Lss	1.93	2.26	1.98	2.19	1.86	2.16	2.01	1.85	2.03
NPQ_D1	0.20	0.31	0.22	0.37	0.27	0.41	0.24	0.28	0.29
NPQ_D2	0.18	0.27	0.16	0.30	0.19	0.25	0.17	0.16	0.19
NPQ_D3	0.17	0.25	0.18	0.30	0.21	0.23	0.16	0.16	0.17
qN_L1	0.16	0.21	0.14	0.19	0.19	0.17	0.14	0.11	0.19
qN_L2	0.46	0.53	0.47	0.49	0.47	0.51	0.49	0.44	0.54
qN_L3	0.57	0.62	0.57	0.61	0.56	0.62	0.61	0.56	0.63
qN_L4	0.66	0.71	0.66	0.69	0.65	0.70	0.69	0.65	0.70
qN_Lss	0.70	0.74	0.70	0.73	0.69	0.74	0.73	0.69	0.74
qN_D1	0.16	0.24	0.17	0.26	0.20	0.28	0.20	0.22	0.24
qN_D2	0.14	0.20	0.12	0.21	0.15	0.20	0.15	0.12	0.17
qN_D3	0.13	0.19	0.14	0.20	0.15	0.18	0.14	0.12	0.15
qP_L1	-0.02	-0.06	-0.02	-0.06	-0.08	-0.02	-0.00	-0.01	-0.06
qP_L2	-0.03	-0.03	-0.07	-0.04	-0.06	-0.02	-0.04	-0.07	-0.07
qP_L3	-0.08	-0.03	-0.06	-0.04	-0.04	0.03	-0.02	-0.02	-0.03
qP_L4	-0.07	-0.06	-0.06	-0.09	-0.08	0.03	-0.08	0.00	-0.03
qP_Lss	-0.04	-0.08	-0.10	-0.10	-0.12	0.02	0.02	0.05	0.00
qP_D1	0.94	0.95	0.94	0.95	0.93	0.95	0.95	0.94	0.93
qP_D2	0.95	0.95	0.95	0.95	0.94	0.96	0.95	0.95	0.94
qP_D3	0.96	0.96	0.95	0.96	0.96	0.96	0.96	0.95	0.95
qL_L1	-0.47	-0.57	-0.48	-0.66	-0.89	-0.31	-0.15	-0.25	-0.47
qL_L2	-0.49	-0.41	-0.90	-0.51	-0.67	-0.24	-0.44	-0.82	-0.54
qL_L3	-0.85	-0.46	-0.77	-0.53	-0.65	-0.07	-0.31	-0.54	-0.38
qL_L4	-0.86	-0.63	-0.97	-0.91	-0.93	-0.12	-1.49	-0.47	-0.32
qL_Lss	-0.80	-0.80	-1.43	-0.98	-1.10	-0.41	-0.31	-0.38	-0.41
qL_D1	1.29	1.22	1.31	1.22	1.31	1.12	1.23	1.29	1.24
qL_D2	1.30	1.21	1.29	1.22	1.32	1.18	1.25	1.30	1.21
qL_D3	1.24	1.19	1.28	1.22	1.21	1.17	1.21	1.30	1.19
Rfd_L1	0.30	0.30	0.27	0.31	0.36	0.23	0.24	0.24	0.24
Rfd_L2	0.94	1.10	0.94	1.05	1.00	0.95	0.96	0.87	1.02
Rfd_L3	1.36	1.60	1.45	1.59	1.49	1.53	1.48	1.49	1.53
Rfd_L4	2.01	2.31	2.08	2.38	2.04	2.06	2.14	2.08	2.01
Rfd_Lss	2.62	2.65	2.71	2.68	2.32	3.32	3.03	2.88	2.46
