FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13
QY_L1	0.02	0.04	0.03	0.00	-0.00	-0.00	-0.00	0.01	0.02	0.01	-0.03	-0.01	0.00
QY_L2	-0.01	-0.01	-0.01	0.00	-0.01	-0.03	-0.04	-0.05	-0.02	-0.00	-0.01	0.02	0.00
QY_L3	0.01	0.02	0.02	0.01	0.03	-0.04	-0.03	-0.02	0.01	0.02	0.00	0.02	0.03
QY_L4	0.01	0.06	0.10	0.02	0.04	-0.03	-0.04	-0.00	0.03	0.06	0.01	0.02	0.03
QY_Lss	0.04	0.09	0.16	0.04	0.06	-0.01	0.03	0.01	0.05	0.09	0.01	0.03	0.03
QY_D1	0.83	0.82	0.83	0.82	0.80	0.82	0.82	0.82	0.83	0.81	0.81	0.81	0.82
QY_D2	0.82	0.83	0.82	0.82	0.81	0.83	0.83	0.83	0.83	0.81	0.82	0.82	0.81
QY_D3	0.82	0.83	0.83	0.82	0.81	0.83	0.83	0.83	0.83	0.82	0.82	0.82	0.82
NPQ_L1	0.14	0.14	0.15	0.14	0.19	0.18	0.16	0.20	0.17	0.13	0.20	0.21	0.16
NPQ_L2	0.58	0.70	0.51	0.58	0.86	0.74	0.82	0.69	0.76	0.60	0.79	0.64	0.60
NPQ_L3	0.83	0.98	0.78	0.85	1.11	1.00	1.12	0.98	1.06	0.84	1.04	0.88	0.83
NPQ_L4	1.24	1.33	1.08	1.21	1.52	1.43	1.57	1.43	1.47	1.16	1.46	1.20	1.16
NPQ_Lss	1.51	1.51	1.26	1.41	1.76	1.73	1.79	1.72	1.74	1.35	1.75	1.43	1.38
NPQ_D1	0.24	0.22	0.26	0.28	0.35	0.30	0.25	0.29	0.24	0.25	0.27	0.34	0.30
NPQ_D2	0.21	0.16	0.20	0.22	0.27	0.25	0.20	0.25	0.20	0.20	0.21	0.27	0.24
NPQ_D3	0.19	0.15	0.17	0.19	0.24	0.24	0.20	0.25	0.19	0.18	0.20	0.25	0.23
qN_L1	0.12	0.12	0.12	0.12	0.17	0.13	0.12	0.14	0.13	0.12	0.16	0.16	0.13
qN_L2	0.39	0.44	0.36	0.40	0.51	0.43	0.47	0.42	0.46	0.41	0.48	0.41	0.40
qN_L3	0.49	0.54	0.47	0.50	0.58	0.52	0.56	0.51	0.55	0.50	0.55	0.50	0.49
qN_L4	0.59	0.62	0.56	0.59	0.66	0.62	0.64	0.61	0.64	0.59	0.64	0.58	0.58
qN_Lss	0.64	0.65	0.60	0.63	0.70	0.66	0.68	0.66	0.68	0.63	0.69	0.63	0.63
qN_D1	0.19	0.18	0.21	0.23	0.27	0.21	0.19	0.20	0.19	0.21	0.21	0.26	0.24
qN_D2	0.16	0.14	0.17	0.18	0.21	0.17	0.15	0.18	0.16	0.17	0.17	0.21	0.20
qN_D3	0.15	0.13	0.14	0.16	0.20	0.18	0.14	0.17	0.15	0.16	0.16	0.19	0.19
qP_L1	0.02	0.05	0.04	0.00	-0.01	-0.01	-0.01	0.00	0.03	0.01	-0.04	-0.02	0.00
qP_L2	-0.02	-0.01	-0.02	0.00	-0.02	-0.05	-0.06	-0.06	-0.03	-0.00	-0.01	0.01	-0.00
qP_L3	0.01	0.02	0.02	0.01	0.04	-0.07	-0.06	-0.04	0.01	0.03	-0.00	0.01	0.03
qP_L4	-0.00	0.07	0.12	0.02	0.05	-0.07	-0.07	-0.03	0.03	0.07	0.00	0.01	0.03
qP_Lss	0.03	0.11	0.20	0.04	0.07	-0.06	0.01	-0.03	0.05	0.11	-0.01	0.03	0.04
qP_D1	0.97	0.97	0.97	0.97	0.97	0.96	0.96	0.95	0.97	0.96	0.96	0.95	0.97
qP_D2	0.95	0.96	0.95	0.95	0.96	0.96	0.96	0.96	0.96	0.95	0.96	0.95	0.95
qP_D3	0.96	0.97	0.95	0.95	0.96	0.96	0.96	0.96	0.97	0.96	0.96	0.95	0.96
qL_L1	-0.01	0.22	0.08	-0.16	-0.15	-0.48	-0.37	-0.47	-0.03	-0.03	-0.46	-0.37	-0.15
qL_L2	-0.38	-0.26	-0.43	-0.20	-0.26	-0.85	-0.78	-1.04	-0.51	-0.14	-0.41	-0.26	-0.19
qL_L3	-0.24	-0.14	-0.20	-0.22	-0.02	-1.03	-0.78	-0.93	-0.37	-0.02	-0.45	-0.30	-0.04
qL_L4	-0.40	-0.03	0.12	-0.20	-0.03	-1.00	-1.00	-0.85	-0.34	0.14	-0.44	-0.30	-0.08
qL_Lss	-0.28	0.07	0.36	-0.11	-0.04	-1.15	-0.66	-0.98	-0.29	0.25	-0.51	-0.33	-0.13
qL_D1	1.16	1.17	1.19	1.16	1.13	1.21	1.22	1.29	1.15	1.18	1.18	1.24	1.15
qL_D2	1.25	1.20	1.28	1.23	1.17	1.23	1.21	1.27	1.22	1.23	1.17	1.26	1.23
qL_D3	1.24	1.19	1.29	1.22	1.16	1.23	1.21	1.27	1.19	1.20	1.17	1.26	1.19
Rfd_L1	0.27	0.26	0.27	0.23	0.24	0.32	0.29	0.33	0.30	0.21	0.30	0.28	0.23
Rfd_L2	0.72	0.81	0.62	0.73	0.94	0.95	1.04	0.83	0.90	0.70	1.00	0.82	0.71
Rfd_L3	1.05	1.20	1.00	1.06	1.44	1.28	1.69	1.25	1.40	1.01	1.35	1.11	1.11
Rfd_L4	1.60	1.76	1.65	1.52	1.85	2.02	2.16	2.02	1.99	1.78	1.89	1.53	1.43
Rfd_Lss	2.20	2.08	2.31	1.81	2.23	2.38	2.72	2.53	2.52	1.80	2.24	1.85	1.82
