FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6
Size [pixels]	1959	809	1714	1260	1904	766
Fo	67.38	73.75	83.19	40.10	76.42	95.06
Fo_gauss	67.38	73.75	83.19	40.10	76.42	95.06
Fo_median	53.22	59.24	66.99	28.34	60.95	76.25
Fm	539.14	590.35	638.64	347.85	594.06	677.68
Fv	471.77	516.60	555.45	307.75	517.63	582.63
Fp	580.47	616.61	670.85	386.64	625.77	707.23
Fp-median	525.04	561.33	604.47	337.08	566.42	637.50
Fp-gauss	719.03	743.75	814.86	521.93	759.70	856.78
Fp-average	631.96	663.99	726.15	437.99	676.68	766.21
Fm_L1	450.05	522.14	524.22	289.14	510.50	546.35
Fm_L2	296.05	354.85	348.08	197.18	332.39	349.72
Fm_L3	245.17	295.09	284.90	167.29	270.15	289.66
Fm_L4	203.60	240.77	237.64	138.89	230.02	244.17
Fm_Lss	185.69	218.23	215.21	129.71	209.15	218.51
Fm_D1	430.50	504.31	496.02	284.84	464.65	482.08
Fm_D2	449.81	530.88	532.93	295.02	504.73	534.83
Fm_D3	453.95	528.08	538.84	296.95	513.27	550.61
Ft_L1	458.29	513.40	538.10	294.30	505.35	563.46
Ft_L2	294.76	356.76	344.50	196.40	332.57	348.23
Ft_L3	246.57	284.20	276.38	161.35	268.79	286.87
Ft_L4	199.35	231.22	230.45	138.62	219.49	231.44
Ft_Lss	184.67	202.19	207.47	126.68	199.98	213.09
Ft_D1	85.02	98.19	100.97	53.62	95.22	113.31
Ft_D2	84.14	94.90	101.98	50.36	95.99	112.99
Ft_D3	85.74	95.30	102.78	50.92	96.67	114.29
Fo_L1	65.68	72.49	80.80	39.06	74.75	91.83
Fo_L2	60.72	67.78	74.66	36.44	69.00	83.62
Fo_L3	58.10	65.15	71.08	35.12	65.69	79.54
Fo_L4	55.20	61.96	67.59	33.48	62.82	75.42
Fo_Lss	53.66	60.23	65.53	32.81	61.02	72.63
Fo_D1	65.12	72.13	80.01	38.97	73.58	89.67
Fo_D2	65.58	72.66	80.99	39.21	74.59	91.45
Fo_D3	65.66	72.61	81.14	39.24	74.81	91.91
Fv_L1	384.37	449.65	443.42	250.07	435.75	454.52
Fv_L2	235.33	287.07	273.42	160.74	263.39	266.10
Fv_L3	187.08	229.94	213.83	132.17	204.47	210.12
Fv_L4	148.40	178.82	170.05	105.42	167.20	168.75
Fv_Lss	132.04	158.00	149.68	96.90	148.13	145.88
Fv_D1	365.38	432.18	416.00	245.86	391.06	392.41
Fv_D2	384.24	458.22	451.94	255.82	430.14	443.38
Fv_D3	388.29	455.47	457.70	257.72	438.46	458.70
Fq_L1	-8.24	8.74	-13.88	-5.17	5.16	-17.11
Fq_L2	1.29	-1.91	3.59	0.78	-0.18	1.49
Fq_L3	-1.40	10.90	8.52	5.94	1.36	2.79
Fq_L4	4.25	9.56	7.19	0.27	10.53	12.72
Fq_Lss	1.02	16.04	7.74	3.03	9.17	5.43
Fq_D1	345.48	406.12	395.04	231.22	369.42	368.77
Fq_D2	365.68	435.98	430.95	244.66	408.74	421.85
Fq_D3	368.22	432.78	436.07	246.03	416.60	436.32
QY_max	0.87	0.88	0.87	0.88	0.87	0.86
Fv/Fm_L1	0.85	0.86	0.84	0.86	0.85	0.83
Fv/Fm_L2	0.79	0.81	0.78	0.81	0.79	0.76
Fv/Fm_L3	0.76	0.78	0.75	0.78	0.76	0.72
Fv/Fm_L4	0.72	0.74	0.71	0.75	0.73	0.69
Fv/Fm_Lss	0.70	0.72	0.69	0.74	0.70	0.66
Fv/Fm_D1	0.84	0.86	0.84	0.86	0.84	0.81
Fv/Fm_D2	0.85	0.86	0.85	0.86	0.85	0.83
Fv/Fm_D3	0.85	0.86	0.85	0.86	0.85	0.83
QY_L1	-0.03	0.01	-0.04	-0.04	0.00	-0.04
QY_L2	-0.02	-0.02	-0.01	-0.05	-0.02	-0.01
QY_L3	-0.03	0.02	0.01	-0.03	-0.02	-0.01
QY_L4	-0.01	0.03	0.01	-0.08	0.03	0.01
QY_Lss	-0.05	0.06	0.01	-0.04	0.02	-0.01
QY_D1	0.80	0.81	0.80	0.81	0.80	0.77
QY_D2	0.81	0.82	0.81	0.83	0.81	0.79
QY_D3	0.81	0.82	0.81	0.83	0.81	0.79
NPQ_L1	0.22	0.14	0.23	0.24	0.17	0.25
NPQ_L2	0.87	0.69	0.87	0.86	0.81	0.98
NPQ_L3	1.27	1.04	1.31	1.23	1.25	1.42
NPQ_L4	1.79	1.51	1.79	1.74	1.65	2.04
NPQ_Lss	2.21	1.78	2.11	1.89	1.98	2.47
NPQ_D1	0.36	0.19	0.34	0.28	0.32	0.51
NPQ_D2	0.28	0.12	0.23	0.23	0.21	0.35
NPQ_D3	0.27	0.13	0.22	0.21	0.19	0.31
qN_L1	0.18	0.12	0.20	0.17	0.15	0.21
qN_L2	0.50	0.44	0.51	0.47	0.49	0.55
qN_L3	0.61	0.56	0.62	0.57	0.60	0.64
qN_L4	0.69	0.66	0.70	0.66	0.68	0.72
qN_Lss	0.73	0.70	0.74	0.68	0.72	0.76
qN_D1	0.23	0.16	0.25	0.19	0.24	0.34
qN_D2	0.19	0.11	0.18	0.15	0.17	0.25
qN_D3	0.18	0.11	0.17	0.15	0.15	0.22
qP_L1	-0.04	0.01	-0.04	-0.06	0.00	-0.04
qP_L2	-0.03	-0.02	-0.01	-0.07	-0.03	-0.03
qP_L3	-0.06	0.01	-0.00	-0.06	-0.03	-0.03
qP_L4	-0.03	0.03	-0.01	-0.17	0.03	-0.27
qP_Lss	-0.36	0.07	0.00	-0.09	0.01	-0.07
qP_D1	0.96	0.94	0.95	0.94	0.95	0.95
qP_D2	0.96	0.95	0.96	0.96	0.95	0.96
qP_D3	0.95	0.95	0.96	0.96	0.95	0.96
qL_L1	-0.53	-0.01	-0.44	-0.84	-0.13	-0.39
qL_L2	-0.41	-0.26	-0.24	-1.03	-0.35	-0.29
qL_L3	-0.57	-0.17	-0.22	-1.12	-0.40	-0.32
qL_L4	-0.49	-0.13	-0.31	-1.96	-0.18	-4.94
qL_Lss	-10.74	-0.02	-0.30	-1.30	-0.32	-0.76
qL_D1	1.21	1.28	1.19	1.31	1.22	1.16
qL_D2	1.20	1.25	1.19	1.25	1.24	1.15
qL_D3	1.22	1.26	1.19	1.26	1.24	1.15
Rfd_L1	0.30	0.22	0.27	0.37	0.27	0.29
Rfd_L2	1.06	0.77	1.03	1.14	0.93	1.13
Rfd_L3	1.49	1.25	1.56	1.71	1.49	1.64
Rfd_L4	2.35	1.81	2.18	2.36	2.17	2.54
Rfd_Lss	2.85	2.30	2.56	2.87	2.43	3.05
