FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13	Area 14	Area 15	Area 16	Area 17
Size [pixels]	4001	2726	638	640	1429	994	1568	1111	1441	945	420	242	522	403	687	509	690
Fo	78.47	86.64	90.99	82.75	83.25	103.78	111.74	57.55	67.97	57.09	43.90	46.84	34.57	52.99	71.06	49.45	116.79
Fo_gauss	78.47	86.64	90.99	82.75	83.25	103.78	111.74	57.55	67.97	57.09	43.90	46.84	34.57	52.99	71.06	49.45	116.79
Fo_median	65.08	73.11	73.03	69.62	68.69	86.22	96.06	45.59	54.89	45.18	33.24	34.97	24.40	40.06	58.37	38.03	100.48
Fm	658.13	727.78	670.65	639.08	666.28	775.31	858.56	486.36	565.18	501.65	401.06	409.14	316.84	435.49	588.00	440.98	853.11
Fv	579.67	641.14	579.66	556.34	583.03	671.53	746.82	428.81	497.21	444.56	357.16	362.30	282.27	382.50	516.94	391.52	736.32
Fp	688.26	752.73	696.06	675.95	694.42	805.74	883.33	517.46	614.56	538.40	429.60	444.06	345.34	467.20	616.67	470.69	885.85
Fp-median	635.63	699.87	634.88	621.58	635.98	739.70	827.48	470.52	562.79	488.34	385.18	397.85	305.04	417.50	567.98	428.81	822.80
Fp-gauss	830.35	896.06	838.60	815.74	846.37	958.23	1026.62	644.93	751.51	675.01	551.19	572.05	459.58	605.74	753.77	583.78	1046.31
Fp-average	739.62	805.14	752.83	726.91	748.98	861.44	935.73	564.18	663.17	587.58	475.09	491.76	386.23	520.65	666.51	511.08	946.02
Fm_L1	595.07	642.31	606.29	558.08	581.77	697.65	782.74	447.82	524.42	463.18	365.46	377.29	288.89	396.06	533.16	410.98	773.62
Fm_L2	430.61	459.39	405.95	373.59	386.60	475.11	565.11	322.02	392.03	343.33	255.43	279.66	210.50	263.64	405.70	306.45	496.55
Fm_L3	354.64	370.22	321.87	305.98	319.25	382.69	438.53	252.58	323.03	280.74	209.30	211.78	175.27	220.72	323.61	254.85	409.59
Fm_L4	297.53	303.10	269.68	250.28	264.26	327.75	361.23	208.52	267.44	239.08	181.77	173.30	153.37	189.11	268.72	214.53	346.52
Fm_Lss	264.72	268.01	237.27	224.56	236.36	289.24	324.72	188.05	240.34	211.27	164.75	154.58	137.50	169.98	242.37	190.45	316.22
Fm_D1	516.50	588.46	567.43	525.54	529.46	633.05	717.82	370.95	469.90	418.18	308.98	352.85	254.12	358.20	477.79	358.58	663.49
Fm_D2	559.53	620.38	594.96	556.30	562.84	672.17	758.47	412.21	501.14	439.35	348.30	372.64	278.94	393.74	504.26	397.65	713.48
Fm_D3	565.73	624.68	604.69	558.05	566.06	681.21	764.88	418.21	509.38	439.44	357.24	371.22	285.51	406.01	515.37	403.00	724.50
Ft_L1	585.97	645.95	597.46	565.43	578.59	685.83	772.04	437.20	523.91	454.34	349.40	362.35	279.80	383.85	518.42	398.05	758.43
Ft_L2	422.85	448.01	400.96	364.70	383.49	470.69	555.97	323.36	384.39	340.00	255.86	267.19	216.87	259.14	398.38	308.82	509.39
Ft_L3	342.41	358.68	315.55	299.41	302.35	369.03	422.79	252.45	312.39	274.50	213.06	212.20	172.29	221.71	306.54	248.31	390.31
Ft_L4	283.77	293.81	258.35	243.22	253.16	308.95	349.71	198.95	258.21	230.86	180.53	177.66	142.52	179.67	252.61	191.89	328.57
Ft_Lss	251.27	261.10	235.88	216.53	226.01	278.40	304.31	174.93	234.55	201.03	159.65	155.26	119.63	165.23	226.24	161.79	286.44
Ft_D1	102.62	114.87	114.25	104.70	108.83	128.67	140.34	69.11	87.72	79.32	58.75	61.93	47.04	66.82	93.35	65.61	128.73
Ft_D2	102.23	113.27	111.02	102.53	103.92	128.40	141.56	75.46	87.87	75.73	56.37	56.26	42.14	67.53	98.82	67.72	134.40
Ft_D3	99.90	112.37	108.48	101.38	102.23	127.59	140.19	70.75	89.01	75.96	56.87	57.82	43.94	69.69	93.98	66.25	131.45
Fo_L1	77.46	85.26	89.67	81.18	81.72	102.21	110.32	56.95	67.32	56.56	43.38	46.44	34.20	52.33	70.15	49.02	115.16
Fo_L2	73.60	80.82	83.29	75.49	76.02	95.36	104.48	54.06	64.35	54.08	40.98	44.28	32.55	48.68	67.22	46.96	106.07
Fo_L3	70.87	77.36	78.89	72.13	72.85	90.82	99.02	51.51	62.07	52.11	39.44	41.88	31.43	46.85	64.35	45.41	101.33
Fo_L4	68.12	73.77	75.20	68.34	69.28	87.16	94.32	49.22	59.53	50.33	38.26	39.98	30.52	45.06	61.65	43.81	96.81
Fo_Lss	66.16	71.39	72.19	66.15	67.08	84.09	91.53	47.80	57.98	48.77	37.32	38.63	29.68	43.70	60.10	42.65	94.10
Fo_D1	75.87	84.18	88.67	80.39	80.47	100.65	108.90	55.32	66.30	55.75	42.33	45.97	33.57	51.43	69.03	48.10	112.19
Fo_D2	76.77	84.83	89.37	81.12	81.23	101.64	109.82	56.28	66.90	56.16	43.11	46.32	34.00	52.20	69.58	48.82	113.62
Fo_D3	76.88	84.91	89.59	81.17	81.28	101.85	109.97	56.39	67.06	56.13	43.26	46.30	34.14	52.47	69.80	48.91	113.88
Fv_L1	517.61	557.05	516.62	476.90	500.05	595.44	672.42	390.87	457.11	406.62	322.08	330.85	254.69	343.73	463.01	361.96	658.46
Fv_L2	357.01	378.57	322.66	298.10	310.58	379.75	460.63	267.96	327.68	289.25	214.45	235.38	177.95	214.96	338.48	259.49	390.48
Fv_L3	283.77	292.86	242.99	233.85	246.40	291.87	339.52	201.06	260.97	228.64	169.85	169.90	143.83	173.87	259.26	209.44	308.26
Fv_L4	229.40	229.34	194.48	181.93	194.98	240.59	266.91	159.31	207.90	188.74	143.51	133.32	122.85	144.05	207.06	170.73	249.70
Fv_Lss	198.55	196.62	165.08	158.42	169.28	205.15	233.19	140.25	182.36	162.49	127.43	115.95	107.81	126.28	182.27	147.80	222.12
Fv_D1	440.63	504.27	478.76	445.15	448.99	532.40	608.92	315.63	403.60	362.43	266.65	306.88	220.55	306.77	408.76	310.48	551.30
