FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13	Area 14
Fv/Fm_L2	0.83	0.82	0.78	0.84	0.84	0.80	0.84	0.81	0.81	0.80	0.82	0.81	0.80	0.80
Fv/Fm_L3	0.80	0.78	0.74	0.80	0.81	0.76	0.81	0.78	0.78	0.77	0.79	0.78	0.78	0.75
Fv/Fm_L4	0.77	0.75	0.70	0.77	0.78	0.72	0.78	0.75	0.76	0.75	0.77	0.75	0.75	0.70
Fv/Fm_Lss	0.75	0.72	0.67	0.75	0.76	0.70	0.76	0.73	0.74	0.73	0.75	0.72	0.74	0.67
Fv/Fm_D1	0.86	0.85	0.83	0.86	0.87	0.83	0.86	0.85	0.84	0.83	0.85	0.85	0.83	0.82
Fv/Fm_D2	0.87	0.85	0.83	0.87	0.87	0.84	0.87	0.86	0.85	0.84	0.86	0.85	0.85	0.84
Fv/Fm_D3	0.87	0.85	0.84	0.87	0.87	0.84	0.87	0.86	0.85	0.85	0.87	0.85	0.85	0.84
QY_L1	-0.01	-0.01	-0.04	0.01	-0.00	-0.02	0.00	0.00	-0.02	-0.02	-0.01	-0.05	-0.03	-0.02
QY_L2	-0.01	-0.01	0.00	-0.04	-0.07	-0.02	-0.09	-0.05	0.00	-0.00	-0.05	0.00	-0.00	-0.02
QY_L3	-0.01	0.00	0.02	-0.05	-0.04	-0.00	-0.06	-0.02	0.00	0.01	-0.03	-0.00	0.01	-0.01
QY_L4	-0.03	-0.01	-0.02	-0.07	-0.03	-0.02	-0.01	-0.03	0.01	0.04	-0.04	-0.02	-0.01	-0.01
QY_Lss	-0.04	-0.02	-0.01	-0.04	0.03	-0.03	0.05	-0.02	0.02	0.04	-0.06	0.01	0.01	-0.01
QY_D1	0.80	0.80	0.79	0.82	0.83	0.80	0.82	0.80	0.77	0.78	0.80	0.80	0.77	0.77
QY_D2	0.82	0.81	0.80	0.83	0.83	0.81	0.83	0.82	0.80	0.80	0.82	0.80	0.80	0.80
QY_D3	0.82	0.82	0.80	0.83	0.84	0.81	0.84	0.82	0.81	0.80	0.83	0.81	0.80	0.80
NPQ_L1	0.12	0.12	0.25	0.13	0.13	0.17	0.12	0.13	0.17	0.17	0.15	0.18	0.19	0.15
NPQ_L2	0.55	0.50	0.91	0.55	0.53	0.73	0.58	0.65	0.66	0.69	0.68	0.63	0.65	0.61
NPQ_L3	0.87	0.93	1.35	0.96	0.95	1.21	0.97	1.01	1.04	0.96	0.95	0.99	0.93	1.20
NPQ_L4	1.24	1.37	1.94	1.36	1.36	1.72	1.33	1.41	1.33	1.23	1.25	1.40	1.26	1.79
NPQ_Lss	1.51	1.69	2.29	1.64	1.62	2.27	1.56	1.69	1.57	1.42	1.50	1.70	1.41	2.18
NPQ_D1	0.21	0.23	0.42	0.26	0.19	0.49	0.27	0.25	0.37	0.39	0.32	0.27	0.37	0.37
NPQ_D2	0.15	0.20	0.39	0.22	0.15	0.35	0.18	0.16	0.24	0.22	0.15	0.25	0.24	0.26
NPQ_D3	0.14	0.20	0.40	0.22	0.16	0.33	0.18	0.15	0.22	0.20	0.13	0.26	0.21	0.23
qN_L1	0.10	0.10	0.21	0.09	0.09	0.14	0.09	0.11	0.14	0.15	0.12	0.15	0.16	0.13
qN_L2	0.38	0.36	0.52	0.36	0.36	0.45	0.38	0.43	0.42	0.45	0.42	0.42	0.43	0.41
qN_L3	0.50	0.53	0.63	0.51	0.51	0.59	0.51	0.55	0.55	0.54	0.51	0.54	0.53	0.60
qN_L4	0.60	0.63	0.71	0.60	0.61	0.68	0.60	0.64	0.61	0.61	0.59	0.63	0.61	0.70
qN_Lss	0.65	0.68	0.75	0.65	0.65	0.72	0.64	0.68	0.66	0.65	0.64	0.68	0.64	0.75
qN_D1	0.17	0.18	0.25	0.19	0.15	0.24	0.21	0.21	0.27	0.30	0.24	0.19	0.29	0.28
qN_D2	0.12	0.15	0.19	0.15	0.12	0.18	0.14	0.14	0.19	0.19	0.12	0.18	0.21	0.20
qN_D3	0.12	0.15	0.18	0.15	0.12	0.17	0.13	0.13	0.18	0.18	0.10	0.18	0.18	0.17
qP_L1	-0.01	-0.01	-0.05	0.01	-0.01	-0.03	0.00	0.00	-0.03	-0.03	-0.01	-0.06	-0.04	-0.02
qP_L2	-0.01	-0.01	-0.00	-0.06	-0.09	-0.03	-0.11	-0.06	-0.00	-0.01	-0.08	-0.00	-0.01	-0.03
qP_L3	-0.02	-0.00	0.02	-0.08	-0.06	-0.02	-0.09	-0.03	-0.01	0.01	-0.05	-0.02	0.01	-0.02
qP_L4	-0.05	-0.02	-0.04	-0.12	-0.06	-0.04	-0.03	-0.05	0.00	0.04	-0.07	-0.03	-0.02	-0.03
qP_Lss	-0.07	-0.03	-0.04	-0.08	0.02	-0.13	0.04	-0.05	0.01	0.05	-0.10	-0.00	0.00	-0.04
qP_D1	0.93	0.95	0.96	0.95	0.96	0.97	0.95	0.94	0.92	0.94	0.94	0.94	0.93	0.94
qP_D2	0.95	0.96	0.97	0.96	0.96	0.97	0.96	0.95	0.94	0.95	0.96	0.95	0.94	0.96
qP_D3	0.95	0.96	0.95	0.96	0.96	0.97	0.96	0.96	0.95	0.95	0.96	0.96	0.94	0.96
qL_L1	-0.25	-0.23	-0.40	-0.25	-0.36	-0.36	-0.39	-0.12	-0.41	-0.27	-0.33	-0.55	-0.40	-0.23
qL_L2	-0.30	-0.22	-0.18	-0.82	-1.07	-0.39	-1.36	-0.60	-0.26	-0.18	-0.89	-0.17	-0.16	-0.29
qL_L3	-0.35	-0.21	-0.09	-0.98	-0.84	-0.37	-1.23	-0.44	-0.40	-0.09	-0.65	-0.33	-0.12	-0.31
qL_L4	-0.54	-0.33	-0.38	-1.28	-0.89	-0.56	-0.81	-0.55	-0.27	-0.01	-0.77	-0.40	-0.30	-0.35
qL_Lss	-0.66	-0.42	-0.39	-1.08	-0.58	-1.02	-0.51	-0.56	-0.33	0.03	-1.05	-0.29	-0.19	-0.45
qL_D1	1.34	1.27	1.21	1.26	1.26	1.21	1.29	1.28	1.34	1.20	1.26	1.25	1.25	1.23
qL_D2	1.28	1.23	1.19	1.26	1.28	1.20	1.31	1.25	1.28	1.21	1.27	1.26	1.24	1.19
qL_D3	1.27	1.22	1.02	1.23	1.25	1.18	1.28	1.24	1.26	1.20	1.25	1.24	1.24	1.21
Rfd_L1	0.22	0.19	0.26	0.26	0.24	0.23	0.27	0.21	0.28	0.20	0.28	0.22	0.23	0.19
Rfd_L2	0.71	0.62	1.02	0.68	0.59	0.86	0.67	0.70	0.86	0.81	0.82	0.77	0.77	0.67
Rfd_L3	1.08	1.12	1.56	1.13	1.16	1.45	1.19	1.18	1.33	1.14	1.19	1.20	1.11	1.35
Rfd_L4	1.48	1.60	2.13	1.63	1.76	2.02	1.91	1.63	1.67	1.48	1.55	1.63	1.42	2.01
Rfd_Lss	1.76	1.95	2.59	2.16	2.35	2.65	2.44	2.02	2.02	1.72	1.93	2.07	1.65	2.47
