FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9
Size [pixels]	2666	1573	2696	2068	1410	1449	1391	877	391
Fo	66.88	66.70	93.48	57.88	49.90	41.29	118.32	51.35	80.92
Fo_gauss	66.88	66.70	93.48	57.88	49.90	41.29	118.32	51.35	80.92
Fo_median	53.97	53.69	78.07	45.39	38.46	30.37	102.95	38.19	67.26
Fm	541.74	533.33	718.83	500.74	418.70	349.63	826.85	441.92	628.22
Fv	474.85	466.62	625.35	442.86	368.80	308.34	708.53	390.57	547.30
Fp	589.70	577.07	759.79	532.78	460.29	384.79	867.50	472.77	670.06
Fp-median	540.75	527.06	700.85	485.89	420.77	336.55	806.92	423.48	607.70
Fp-gauss	723.57	707.60	901.77	657.09	597.58	515.23	1022.94	601.77	811.86
Fp-average	637.00	622.83	810.57	575.82	510.98	430.63	920.99	521.23	720.56
Fm_L1	490.42	471.21	604.00	458.02	362.64	299.91	672.85	390.33	533.33
Fm_L2	353.49	318.89	412.12	316.55	264.34	208.11	443.10	268.28	382.75
Fm_L3	282.97	261.86	327.05	259.40	212.95	177.77	363.01	220.07	332.87
Fm_L4	232.01	220.00	272.33	216.33	172.79	149.14	306.39	187.42	283.03
Fm_Lss	208.88	206.00	250.69	198.02	158.44	137.30	277.84	173.62	254.75
Fm_D1	458.40	398.50	593.61	412.74	360.82	262.47	651.22	345.23	465.08
Fm_D2	476.70	459.53	624.14	449.41	366.92	293.75	703.75	393.33	516.61
Fm_D3	478.27	471.16	628.38	452.46	365.43	297.17	716.10	399.63	532.07
Ft_L1	490.31	474.46	619.67	447.64	369.57	304.78	690.86	392.31	549.56
Ft_L2	346.01	318.56	407.37	325.11	260.81	207.08	437.04	271.91	376.39
Ft_L3	281.37	268.46	323.76	261.68	214.29	178.66	351.21	226.69	320.46
Ft_L4	231.76	220.92	269.75	214.10	178.18	153.40	294.87	188.80	276.83
Ft_Lss	206.91	202.72	248.10	190.20	160.78	140.50	270.27	171.01	255.68
Ft_D1	89.57	83.98	121.11	80.03	64.90	52.38	149.70	68.83	99.86
Ft_D2	87.54	87.15	118.25	76.07	64.71	51.29	145.81	68.88	101.34
Ft_D3	85.70	85.08	116.62	75.26	62.79	49.13	142.16	65.19	98.24
Fo_L1	66.00	65.57	91.14	57.24	48.97	40.44	114.47	50.53	79.08
Fo_L2	62.55	61.21	84.93	54.01	46.36	37.86	104.90	47.47	74.52
Fo_L3	59.73	58.58	80.42	51.89	44.30	36.59	99.55	45.52	72.38
Fo_L4	56.91	56.04	76.43	49.75	42.06	35.02	94.55	43.78	69.51
Fo_Lss	55.26	55.02	74.48	48.60	40.95	34.15	91.48	42.93	67.62
Fo_D1	65.33	63.80	90.87	56.42	48.88	39.57	113.80	49.59	77.24
Fo_D2	65.72	65.30	91.62	57.09	49.04	40.33	115.37	50.57	78.69
Fo_D3	65.76	65.54	91.71	57.14	48.99	40.36	115.71	50.68	79.03
Fv_L1	424.42	405.64	512.87	400.77	313.67	259.47	558.38	339.80	454.24
Fv_L2	290.95	257.69	327.19	262.53	217.97	170.26	338.19	220.80	308.23
Fv_L3	223.24	203.28	246.64	207.51	168.65	141.18	263.45	174.55	260.49
Fv_L4	175.10	163.96	195.90	166.58	130.73	114.12	211.84	143.65	213.53
Fv_Lss	153.62	150.98	176.21	149.42	117.49	103.15	186.37	130.70	187.13
Fv_D1	393.06	334.69	502.74	356.33	311.94	222.90	537.43	295.64	387.83
Fv_D2	410.98	394.23	532.52	392.32	317.88	253.41	588.37	342.77	437.92
Fv_D3	412.51	405.62	536.66	395.32	316.44	256.80	600.39	348.95	453.04
Fq_L1	0.11	-3.25	-15.67	10.38	-6.92	-4.88	-18.01	-1.99	-16.23
Fq_L2	7.48	0.33	4.75	-8.56	3.52	1.03	6.05	-3.63	6.36
Fq_L3	1.60	-6.59	3.30	-2.27	-1.34	-0.89	11.79	-6.62	12.41
Fq_L4	0.25	-0.92	2.58	2.23	-5.38	-4.27	11.51	-1.37	6.20
Fq_Lss	1.96	3.28	2.60	7.82	-2.33	-3.19	7.57	2.62	-0.92
Fq_D1	368.83	314.51	472.51	332.71	295.92	210.09	501.52	276.40	365.22
Fq_D2	389.16	372.38	505.89	373.34	302.21	242.46	557.93	324.45	415.28
Fq_D3	392.57	386.08	511.76	377.20	302.64	248.04	573.93	334.45	433.84
QY_max	0.88	0.87	0.87	0.88	0.88	0.88	0.86	0.88	0.87
Fv/Fm_L1	0.86	0.86	0.85	0.87	0.86	0.86	0.83	0.87	0.85
Fv/Fm_L2	0.82	0.81	0.79	0.83	0.82	0.81	0.76	0.82	0.80
Fv/Fm_L3	0.79	0.77	0.75	0.80	0.79	0.79	0.72	0.79	0.78
Fv/Fm_L4	0.75	0.74	0.72	0.77	0.75	0.75	0.69	0.76	0.75
Fv/Fm_Lss	0.73	0.73	0.70	0.75	0.73	0.74	0.67	0.75	0.73
Fv/Fm_D1	0.86	0.84	0.85	0.86	0.86	0.84	0.82	0.85	0.83
Fv/Fm_D2	0.86	0.86	0.85	0.87	0.86	0.86	0.84	0.87	0.85
Fv/Fm_D3	0.86	0.86	0.85	0.87	0.86	0.86	0.84	0.87	0.85
QY_L1	-0.01	-0.02	-0.03	0.01	-0.04	-0.04	-0.04	-0.02	-0.04
QY_L2	0.01	-0.01	0.00	-0.04	-0.01	-0.04	0.00	-0.04	0.01
QY_L3	-0.01	-0.05	-0.01	-0.03	-0.04	-0.06	0.02	-0.07	0.02
QY_L4	-0.03	-0.04	-0.01	-0.02	-0.08	-0.11	0.02	-0.05	0.00
QY_Lss	-0.02	-0.02	-0.01	0.01	-0.08	-0.10	0.00	-0.03	-0.03
QY_D1	0.80	0.79	0.80	0.80	0.82	0.79	0.77	0.80	0.78
QY_D2	0.81	0.81	0.81	0.83	0.82	0.82	0.79	0.82	0.80
QY_D3	0.82	0.82	0.81	0.83	0.82	0.83	0.80	0.84	0.81
NPQ_L1	0.12	0.14	0.20	0.10	0.18	0.20	0.24	0.15	0.21
NPQ_L2	0.56	0.70	0.76	0.61	0.63	0.77	0.89	0.69	0.69
NPQ_L3	0.95	1.09	1.23	0.97	1.04	1.08	1.31	1.08	0.93
NPQ_L4	1.40	1.50	1.71	1.37	1.54	1.54	1.76	1.46	1.27
NPQ_Lss	1.69	1.68	1.96	1.61	1.82	1.77	2.05	1.66	1.55
NPQ_D1	0.20	0.36	0.23	0.23	0.19	0.39	0.28	0.31	0.39
NPQ_D2	0.16	0.17	0.16	0.12	0.16	0.23	0.18	0.14	0.25
NPQ_D3	0.15	0.14	0.15	0.12	0.17	0.22	0.16	0.12	0.21
qN_L1	0.10	0.12	0.17	0.09	0.13	0.14	0.21	0.12	0.17
qN_L2	0.38	0.45	0.48	0.41	0.40	0.44	0.53	0.43	0.44
qN_L3	0.53	0.57	0.61	0.53	0.54	0.54	0.64	0.55	0.53
qN_L4	0.63	0.65	0.69	0.63	0.65	0.63	0.71	0.63	0.61
qN_Lss	0.68	0.68	0.72	0.67	0.68	0.67	0.74	0.67	0.66
qN_D1	0.16	0.28	0.19	0.19	0.14	0.27	0.24	0.24	0.29
qN_D2	0.13	0.15	0.15	0.11	0.12	0.16	0.17	0.11	0.20
qN_D3	0.12	0.12	0.14	0.10	0.13	0.15	0.15	0.10	0.17
qP_L1	-0.01	-0.02	-0.04	0.02	-0.04	-0.06	-0.05	-0.03	-0.05
qP_L2	0.00	-0.02	-0.00	-0.06	-0.02	-0.06	0.00	-0.05	0.01
qP_L3	-0.02	-0.07	-0.01	-0.04	-0.06	-0.10	0.02	-0.10	0.03
qP_L4	-0.05	-0.07	-0.02	-0.03	-0.13	-0.18	0.02	-0.09	-0.00
qP_Lss	-0.05	-0.04	-0.03	-0.00	-0.15	-0.19	-0.01	-0.06	-0.06
qP_D1	0.94	0.94	0.94	0.93	0.95	0.94	0.93	0.94	0.94
qP_D2	0.95	0.95	0.95	0.95	0.95	0.96	0.95	0.95	0.95
qP_D3	0.95	0.95	0.95	0.95	0.96	0.97	0.96	0.96	0.96
qL_L1	-0.24	-0.32	-0.36	-0.02	-0.65	-0.90	-0.35	-0.51	-0.49
qL_L2	-0.17	-0.33	-0.15	-0.57	-0.49	-0.86	-0.11	-0.64	-0.14
qL_L3	-0.35	-0.60	-0.21	-0.47	-0.78	-1.27	-0.09	-0.97	-0.13
qL_L4	-0.50	-0.61	-0.29	-0.44	-1.20	-1.75	-0.13	-0.92	-0.28
qL_Lss	-0.52	-0.49	-0.35	-0.37	-1.43	-1.72	-0.26	-0.78	-0.54
qL_D1	1.29	1.24	1.25	1.34	1.28	1.25	1.23	1.30	1.20
qL_D2	1.27	1.27	1.23	1.29	1.28	1.25	1.20	1.32	1.23
qL_D3	1.25	1.25	1.22	1.28	1.24	1.20	1.18	1.27	1.19
Rfd_L1	0.22	0.24	0.24	0.21	0.28	0.33	0.27	0.24	0.25
Rfd_L2	0.75	0.87	0.91	0.69	0.85	1.02	1.03	0.83	0.89
Rfd_L3	1.18	1.24	1.42	1.11	1.28	1.42	1.54	1.23	1.17
Rfd_L4	1.68	1.76	1.95	1.61	2.40	2.08	2.04	1.69	1.52
Rfd_Lss	2.05	2.09	2.25	1.99	2.79	2.29	2.36	2.07	1.77
