FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13
Fq_Lss	25.66	32.23	32.62	26.09	31.87	33.75	23.37	34.09	23.12	13.26	6.93	19.15	18.16
Fq_D1	486.14	423.04	512.80	501.67	568.00	557.44	507.14	594.54	441.12	312.62	358.60	206.96	395.49
Fq_D2	520.24	456.04	525.18	529.51	590.88	602.48	552.94	644.31	493.66	324.61	380.00	218.79	416.10
Fq_D3	526.73	467.74	529.91	537.37	601.14	618.60	567.29	666.65	497.81	328.89	384.57	225.76	428.86
QY_max	0.87	0.88	0.87	0.87	0.87	0.87	0.87	0.87	0.88	0.88	0.88	0.89	0.88
Fv/Fm_L1	0.86	0.87	0.85	0.86	0.85	0.85	0.86	0.85	0.87	0.87	0.87	0.88	0.87
Fv/Fm_L2	0.81	0.83	0.81	0.82	0.79	0.80	0.82	0.79	0.83	0.84	0.83	0.85	0.84
Fv/Fm_L3	0.78	0.81	0.78	0.79	0.77	0.77	0.79	0.77	0.81	0.81	0.80	0.82	0.81
Fv/Fm_L4	0.76	0.79	0.77	0.76	0.75	0.75	0.76	0.75	0.78	0.79	0.77	0.80	0.79
Fv/Fm_Lss	0.75	0.78	0.75	0.74	0.73	0.74	0.74	0.73	0.77	0.78	0.75	0.79	0.78
Fv/Fm_D1	0.84	0.85	0.84	0.85	0.84	0.84	0.85	0.84	0.84	0.86	0.85	0.87	0.85
Fv/Fm_D2	0.85	0.86	0.85	0.86	0.84	0.84	0.86	0.85	0.86	0.86	0.86	0.87	0.86
Fv/Fm_D3	0.85	0.86	0.85	0.86	0.85	0.85	0.86	0.85	0.86	0.86	0.86	0.87	0.86
QY_L1	0.01	0.01	0.00	0.01	-0.01	0.01	0.02	0.02	0.00	-0.01	-0.02	0.00	-0.01
QY_L2	0.01	0.01	0.01	0.00	0.00	-0.02	0.00	-0.00	-0.00	0.02	-0.01	-0.05	0.00
QY_L3	0.05	0.05	0.05	0.04	0.04	0.01	0.02	0.04	0.05	0.05	0.02	0.00	0.03
QY_L4	0.05	0.08	0.07	0.06	0.06	0.06	0.04	0.06	0.05	0.02	0.02	0.08	0.04
QY_Lss	0.07	0.08	0.08	0.07	0.07	0.07	0.06	0.08	0.05	0.02	-0.00	0.09	0.04
QY_D1	0.82	0.81	0.82	0.81	0.80	0.80	0.81	0.80	0.80	0.82	0.82	0.83	0.81
QY_D2	0.82	0.82	0.82	0.82	0.81	0.80	0.82	0.82	0.81	0.83	0.82	0.84	0.81
QY_D3	0.82	0.82	0.82	0.83	0.81	0.81	0.82	0.82	0.81	0.83	0.82	0.84	0.83
NPQ_L1	0.12	0.14	0.15	0.11	0.17	0.10	0.10	0.11	0.15	0.13	0.15	0.18	0.14
NPQ_L2	0.61	0.51	0.60	0.55	0.75	0.64	0.47	0.70	0.51	0.44	0.60	0.52	0.43
NPQ_L3	0.91	0.78	0.87	0.89	0.96	0.93	0.85	0.93	0.78	0.73	0.97	0.82	0.69
NPQ_L4	1.20	1.01	1.09	1.21	1.24	1.14	1.20	1.21	1.08	1.03	1.27	1.14	0.90
NPQ_Lss	1.36	1.13	1.22	1.42	1.39	1.25	1.40	1.44	1.25	1.19	1.54	1.30	1.01
NPQ_D1	0.27	0.31	0.25	0.23	0.25	0.28	0.25	0.25	0.37	0.27	0.31	0.32	0.27
NPQ_D2	0.19	0.23	0.23	0.18	0.20	0.19	0.16	0.18	0.24	0.22	0.24	0.25	0.22
NPQ_D3	0.18	0.20	0.22	0.17	0.19	0.17	0.14	0.14	0.23	0.21	0.23	0.23	0.20
qN_L1	0.11	0.12	0.14	0.10	0.16	0.09	0.09	0.11	0.13	0.10	0.12	0.13	0.12
qN_L2	0.42	0.36	0.41	0.39	0.48	0.44	0.36	0.46	0.37	0.32	0.40	0.35	0.33
qN_L3	0.53	0.48	0.51	0.52	0.55	0.54	0.51	0.54	0.48	0.45	0.53	0.47	0.45
qN_L4	0.60	0.55	0.58	0.60	0.62	0.59	0.60	0.61	0.57	0.54	0.60	0.55	0.52
qN_Lss	0.64	0.58	0.61	0.65	0.65	0.62	0.64	0.66	0.61	0.58	0.65	0.59	0.55
qN_D1	0.23	0.25	0.22	0.20	0.22	0.24	0.22	0.22	0.29	0.21	0.24	0.23	0.23
qN_D2	0.17	0.19	0.20	0.16	0.18	0.17	0.14	0.16	0.21	0.18	0.19	0.19	0.19
qN_D3	0.16	0.17	0.19	0.15	0.17	0.15	0.13	0.13	0.20	0.17	0.18	0.17	0.17
qP_L1	0.01	0.01	0.00	0.01	-0.01	0.01	0.02	0.02	0.00	-0.01	-0.02	-0.00	-0.01
qP_L2	0.01	0.00	0.02	-0.00	0.00	-0.03	0.00	-0.00	-0.00	0.02	-0.01	-0.06	0.00
qP_L3	0.06	0.06	0.07	0.05	0.04	0.01	0.02	0.05	0.06	0.05	0.01	-0.00	0.03
qP_L4	0.06	0.09	0.09	0.08	0.08	0.07	0.05	0.08	0.06	0.01	0.02	0.08	0.04
qP_Lss	0.08	0.10	0.10	0.08	0.10	0.09	0.07	0.10	0.07	0.02	-0.02	0.10	0.05
qP_D1	0.97	0.95	0.97	0.96	0.96	0.96	0.96	0.95	0.95	0.97	0.97	0.96	0.95
qP_D2	0.96	0.96	0.96	0.96	0.96	0.95	0.95	0.96	0.95	0.96	0.96	0.96	0.95
qP_D3	0.97	0.96	0.97	0.97	0.96	0.95	0.96	0.97	0.95	0.97	0.96	0.97	0.96
qL_L1	-0.03	-0.04	-0.07	0.02	-0.12	0.01	0.09	0.09	-0.07	-0.33	-0.33	-0.42	-0.19
qL_L2	-0.05	-0.10	-0.02	-0.11	-0.09	-0.25	-0.07	-0.11	-0.13	-0.13	-0.33	-0.93	-0.11
qL_L3	0.14	0.16	0.18	0.08	0.07	-0.05	-0.03	0.11	0.18	-0.01	-0.18	-0.57	0.01
qL_L4	0.08	0.24	0.21	0.17	0.17	0.16	0.07	0.22	0.12	-0.29	-0.22	-0.23	0.04
qL_Lss	0.16	0.26	0.25	0.16	0.21	0.21	0.12	0.25	0.11	-0.29	-0.41	-0.31	0.07
qL_D1	1.15	1.20	1.14	1.18	1.16	1.17	1.19	1.19	1.23	1.18	1.16	1.23	1.24
qL_D2	1.19	1.21	1.16	1.19	1.19	1.20	1.23	1.17	1.25	1.20	1.22	1.26	1.24
qL_D3	1.16	1.21	1.15	1.17	1.18	1.20	1.21	1.17	1.27	1.19	1.22	1.22	1.20
Rfd_L1	0.19	0.21	0.20	0.18	0.21	0.19	0.17	0.17	0.19	0.25	0.22	0.34	0.21
Rfd_L2	0.71	0.60	0.70	0.64	0.84	0.72	0.55	0.77	0.57	0.66	0.74	0.67	0.54
Rfd_L3	1.12	0.99	1.07	1.09	1.14	1.10	0.98	1.11	0.96	1.08	1.21	1.16	0.88
Rfd_L4	1.46	1.33	1.37	1.52	1.52	1.46	1.42	1.47	1.31	1.40	1.62	2.12	1.14
Rfd_Lss	1.70	1.50	1.56	1.78	1.73	1.62	1.71	1.78	1.51	1.62	1.91	2.46	1.29
