FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13	Area 14	Area 15
Fv_D2	672.95	532.34	404.56	423.98	477.50	461.14	310.00	378.46	427.16	467.10	246.58	258.06	623.52	340.34	436.83
Fv_D3	689.90	542.91	411.77	428.66	487.72	465.78	316.17	383.60	431.44	478.13	249.43	262.76	630.35	344.66	444.31
Fq_L1	20.39	8.53	28.14	26.59	5.10	3.78	18.91	9.85	6.02	14.61	17.16	18.94	2.37	21.54	15.85
Fq_L2	-8.70	7.10	0.47	-0.50	14.33	3.33	-1.85	4.48	7.33	4.83	-1.91	7.11	0.19	5.88	13.37
Fq_L3	14.23	17.67	1.44	1.24	18.75	11.59	3.19	17.00	11.42	21.49	-1.70	12.38	15.20	5.30	12.32
Fq_L4	35.86	20.56	7.22	23.65	22.75	8.63	14.30	20.74	18.80	31.87	4.12	24.28	22.52	11.34	16.48
Fq_Lss	39.70	23.71	19.21	29.56	23.65	14.88	26.43	20.10	18.03	30.71	13.32	15.00	28.08	15.41	23.86
Fq_D1	573.93	474.50	341.99	374.62	412.18	414.13	279.37	338.44	384.16	416.40	219.41	224.36	548.26	306.95	387.90
Fq_D2	641.69	508.55	386.18	403.32	452.74	440.46	300.63	361.31	406.50	446.48	237.52	245.49	592.13	323.59	415.88
Fq_D3	659.88	522.63	393.33	410.95	466.62	447.39	305.02	365.55	413.11	461.31	238.48	252.04	602.21	328.33	426.56
QY_max	0.87	0.87	0.88	0.88	0.88	0.88	0.89	0.88	0.88	0.88	0.89	0.89	0.87	0.89	0.88
Fv/Fm_L1	0.86	0.86	0.87	0.87	0.87	0.86	0.88	0.87	0.86	0.87	0.88	0.88	0.85	0.88	0.87
Fv/Fm_L2	0.82	0.82	0.85	0.84	0.84	0.82	0.85	0.83	0.81	0.84	0.85	0.85	0.80	0.84	0.85
Fv/Fm_L3	0.79	0.79	0.82	0.81	0.81	0.79	0.81	0.81	0.79	0.81	0.82	0.83	0.78	0.82	0.83
Fv/Fm_L4	0.77	0.76	0.79	0.79	0.79	0.76	0.79	0.78	0.77	0.79	0.80	0.81	0.75	0.79	0.80
Fv/Fm_Lss	0.76	0.74	0.78	0.78	0.78	0.75	0.78	0.77	0.75	0.78	0.79	0.80	0.74	0.78	0.79
Fv/Fm_D1	0.84	0.84	0.85	0.86	0.85	0.85	0.86	0.85	0.85	0.84	0.86	0.86	0.84	0.86	0.85
Fv/Fm_D2	0.85	0.85	0.86	0.87	0.86	0.86	0.87	0.86	0.85	0.85	0.87	0.87	0.85	0.87	0.86
Fv/Fm_D3	0.85	0.85	0.87	0.87	0.87	0.86	0.87	0.86	0.85	0.86	0.87	0.87	0.85	0.87	0.86
QY_L1	0.02	0.01	0.05	0.05	0.00	-0.00	0.04	0.01	0.00	0.01	0.04	0.05	-0.00	0.04	0.02
QY_L2	-0.02	0.01	-0.01	-0.01	0.02	-0.00	-0.02	-0.00	0.00	0.00	-0.04	0.00	-0.01	0.00	0.02
QY_L3	0.02	0.03	-0.01	-0.01	0.04	0.02	-0.01	0.04	0.02	0.04	-0.05	0.02	0.02	-0.00	0.02
QY_L4	0.07	0.04	0.01	0.07	0.05	0.01	0.04	0.05	0.04	0.08	-0.02	0.09	0.05	0.02	0.04
QY_Lss	0.08	0.06	0.06	0.10	0.06	0.03	0.11	0.05	0.04	0.08	0.03	0.04	0.06	0.04	0.06
QY_D1	0.80	0.81	0.81	0.82	0.82	0.82	0.83	0.81	0.82	0.81	0.82	0.82	0.80	0.83	0.82
QY_D2	0.81	0.81	0.82	0.82	0.82	0.82	0.84	0.82	0.81	0.82	0.84	0.82	0.81	0.83	0.82
QY_D3	0.81	0.82	0.83	0.83	0.83	0.83	0.84	0.82	0.82	0.82	0.83	0.84	0.81	0.83	0.83
NPQ_L1	0.09	0.12	0.09	0.11	0.10	0.13	0.12	0.15	0.14	0.12	0.15	0.11	0.15	0.12	0.09
NPQ_L2	0.49	0.50	0.39	0.43	0.39	0.56	0.46	0.55	0.64	0.46	0.47	0.36	0.66	0.49	0.27
NPQ_L3	0.81	0.85	0.72	0.76	0.69	0.88	0.83	0.83	0.89	0.72	0.83	0.62	0.91	0.79	0.53
NPQ_L4	1.03	1.21	1.04	1.04	0.95	1.24	1.16	1.11	1.17	0.96	1.13	0.84	1.17	1.10	0.81
NPQ_Lss	1.15	1.48	1.15	1.21	1.12	1.42	1.33	1.29	1.32	1.12	1.19	1.06	1.33	1.25	0.98
NPQ_D1	0.32	0.33	0.33	0.27	0.27	0.22	0.30	0.32	0.29	0.37	0.29	0.31	0.22	0.25	0.25
NPQ_D2	0.20	0.25	0.18	0.18	0.16	0.15	0.22	0.25	0.21	0.28	0.21	0.20	0.14	0.19	0.17
NPQ_D3	0.17	0.23	0.16	0.17	0.13	0.14	0.20	0.23	0.21	0.25	0.20	0.19	0.13	0.17	0.15
qN_L1	0.09	0.11	0.08	0.10	0.09	0.11	0.10	0.11	0.12	0.10	0.10	0.07	0.13	0.09	0.08
qN_L2	0.37	0.37	0.30	0.32	0.30	0.38	0.33	0.37	0.42	0.34	0.32	0.27	0.44	0.34	0.23
qN_L3	0.50	0.51	0.45	0.47	0.44	0.51	0.48	0.48	0.51	0.46	0.47	0.39	0.53	0.47	0.37
qN_L4	0.56	0.60	0.55	0.56	0.53	0.60	0.57	0.56	0.58	0.54	0.55	0.48	0.60	0.56	0.49
qN_Lss	0.59	0.65	0.58	0.60	0.58	0.64	0.61	0.60	0.62	0.58	0.57	0.54	0.63	0.59	0.54
qN_D1	0.27	0.27	0.26	0.23	0.22	0.18	0.23	0.24	0.23	0.29	0.22	0.23	0.18	0.20	0.21
qN_D2	0.18	0.21	0.16	0.16	0.14	0.12	0.18	0.19	0.17	0.23	0.16	0.15	0.12	0.15	0.15
qN_D3	0.16	0.20	0.14	0.15	0.12	0.11	0.16	0.18	0.16	0.21	0.15	0.14	0.11	0.14	0.13
qP_L1	0.02	0.01	0.05	0.05	0.00	-0.01	0.04	0.00	-0.00	0.02	0.04	0.05	-0.01	0.04	0.03
qP_L2	-0.03	0.01	-0.01	-0.01	0.03	-0.01	-0.03	-0.01	0.00	-0.00	-0.05	-0.00	-0.01	-0.00	0.02
qP_L3	0.02	0.04	-0.02	-0.01	0.04	0.02	-0.02	0.04	0.02	0.05	-0.07	0.02	0.03	-0.01	0.03
qP_L4	0.08	0.05	0.00	0.08	0.06	-0.00	0.05	0.05	0.04	0.09	-0.05	0.10	0.06	0.02	0.04
qP_Lss	0.10	0.07	0.07	0.12	0.07	0.03	0.13	0.05	0.05	0.09	0.02	0.04	0.08	0.05	0.08
qP_D1	0.95	0.96	0.96	0.96	0.96	0.96	0.96	0.96	0.97	0.96	0.96	0.95	0.94	0.96	0.96
qP_D2	0.95	0.96	0.95	0.95	0.95	0.96	0.97	0.96	0.95	0.96	0.96	0.95	0.95	0.95	0.95
qP_D3	0.96	0.96	0.96	0.96	0.96	0.96	0.96	0.95	0.96	0.96	0.96	0.96	0.96	0.95	0.96
qL_L1	0.10	-0.04	0.32	0.30	-0.08	-0.16	0.16	-0.15	-0.15	-0.01	-0.04	0.18	-0.10	0.16	0.08
qL_L2	-0.23	-0.06	-0.25	-0.24	0.04	-0.22	-0.46	-0.30	-0.19	-0.15	-0.87	-0.37	-0.19	-0.27	0.02
qL_L3	0.01	0.06	-0.29	-0.26	0.10	-0.09	-0.45	-0.07	-0.15	0.11	-1.05	-0.34	0.00	-0.35	0.00
qL_L4	0.24	0.07	-0.19	0.18	0.11	-0.27	-0.14	-0.07	-0.10	0.24	-1.01	0.03	0.09	-0.26	0.04
qL_Lss	0.29	0.09	0.09	0.29	0.10	-0.18	0.16	-0.14	-0.06	0.22	-0.45	-0.50	0.15	-0.14	0.15
qL_D1	1.18	1.17	1.20	1.20	1.19	1.22	1.20	1.22	1.15	1.16	1.28	1.25	1.24	1.22	1.19
qL_D2	1.20	1.20	1.25	1.26	1.28	1.24	1.19	1.24	1.24	1.21	1.23	1.32	1.23	1.30	1.24
qL_D3	1.20	1.17	1.26	1.23	1.24	1.22	1.22	1.25	1.22	1.18	1.31	1.27	1.21	1.29	1.22
Rfd_L1	0.16	0.18	0.21	0.22	0.19	0.21	0.26	0.24	0.23	0.19	0.31	0.30	0.19	0.26	0.19
Rfd_L2	0.53	0.58	0.46	0.49	0.54	0.69	0.56	0.68	0.80	0.54	0.58	0.55	0.73	0.63	0.39
Rfd_L3	0.93	1.02	0.81	0.85	0.92	1.10	1.01	1.09	1.13	0.91	1.03	0.92	1.06	0.97	0.67
Rfd_L4	1.29	1.44	1.22	1.35	1.27	1.51	1.56	1.52	1.53	1.27	1.45	1.44	1.41	1.40	1.02
Rfd_Lss	1.46	1.79	1.48	1.65	1.51	1.80	2.05	1.72	1.72	1.46	1.69	1.63	1.64	1.69	1.30
