FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12
Size [pixels]	3696	1326	1111	1480	1063	2426	2520	1329	577	681	378	290
Fo	102.63	87.41	77.80	43.34	42.43	61.06	80.66	36.80	45.41	69.49	106.93	105.60
Fo_gauss	102.63	87.41	77.80	43.34	42.43	61.06	80.66	36.80	45.41	69.49	106.93	105.60
Fo_median	88.36	73.20	63.50	31.94	31.71	48.36	67.24	26.93	34.94	56.29	92.21	90.97
Fm	814.29	711.25	644.29	387.49	372.13	522.55	665.33	333.61	389.52	602.20	831.02	791.44
Fv	711.65	623.84	566.50	344.15	329.70	461.49	584.67	296.81	344.11	532.71	724.08	685.85
Fp	840.90	744.41	688.48	420.59	401.64	555.08	694.71	358.72	410.96	650.78	851.41	837.01
Fp-median	784.49	692.67	629.23	373.82	357.24	506.04	644.34	329.33	386.53	595.55	794.62	774.71
Fp-gauss	991.27	884.01	839.83	548.79	517.46	683.88	827.68	476.39	545.62	789.59	1002.61	993.50
Fp-average	892.99	793.91	740.94	465.88	441.60	600.97	741.71	403.38	466.02	696.57	903.53	891.34
Fm_L1	728.92	646.95	587.20	353.68	336.31	476.23	609.96	297.37	356.08	547.67	733.61	713.94
Fm_L2	517.83	526.18	379.69	277.26	268.55	369.50	460.03	222.10	260.87	434.47	494.90	501.18
Fm_L3	441.73	432.52	329.79	226.60	215.24	301.36	352.88	184.34	200.95	355.88	409.52	404.12
Fm_L4	391.16	367.14	290.00	195.76	184.64	254.65	296.34	161.41	170.31	302.68	343.60	338.06
Fm_Lss	376.30	347.91	272.40	184.13	170.47	236.29	270.76	150.41	159.17	276.20	307.18	304.57
Fm_D1	599.45	524.82	482.11	308.42	294.97	402.26	537.45	261.10	333.51	443.39	643.66	662.18
Fm_D2	660.93	584.19	537.13	329.71	319.99	437.14	573.85	282.13	347.70	495.96	689.37	696.12
Fm_D3	675.80	599.85	549.62	334.47	327.72	442.68	582.14	284.54	349.92	508.24	703.49	697.21
Ft_L1	714.78	643.04	573.62	339.03	320.65	459.42	584.82	287.55	346.77	545.15	715.20	711.75
Ft_L2	518.88	523.65	383.95	273.65	264.39	364.15	450.19	222.43	253.82	429.68	478.54	489.32
Ft_L3	418.32	408.69	310.69	218.39	211.46	290.74	338.94	174.80	199.55	345.73	383.60	388.58
Ft_L4	362.61	343.68	266.55	187.45	169.75	245.79	275.44	140.22	167.54	291.19	319.64	319.46
Ft_Lss	342.62	322.01	252.59	174.86	150.09	223.18	246.04	125.12	150.44	264.00	291.79	289.44
Ft_D1	122.20	100.46	91.12	52.00	49.31	68.70	95.60	41.41	54.07	83.74	127.69	132.72
Ft_D2	125.93	107.45	97.22	54.17	49.91	73.32	100.77	43.60	52.66	85.49	130.85	132.16
Ft_D3	124.28	107.92	95.12	52.62	50.29	72.96	98.74	43.29	52.79	89.08	128.40	122.47
Fo_L1	101.10	86.32	76.86	42.87	41.90	60.33	79.76	36.24	44.86	68.67	105.13	104.08
Fo_L2	95.47	83.62	71.50	41.31	40.46	58.07	76.35	34.62	42.63	66.38	98.06	97.72
Fo_L3	92.46	80.75	69.40	39.85	38.83	55.92	72.54	33.38	40.42	64.12	94.06	93.23
Fo_L4	89.97	78.02	67.32	38.63	37.56	53.95	69.67	32.42	38.86	61.99	89.98	89.06
Fo_Lss	89.12	77.08	66.24	38.13	36.90	53.01	68.09	31.95	38.19	60.74	87.08	86.57
Fo_D1	98.06	83.61	74.64	42.05	41.10	58.85	78.30	35.57	44.47	66.57	103.00	102.87
Fo_D2	99.63	85.05	75.90	42.47	41.59	59.60	79.07	35.98	44.69	67.73	104.11	103.67
Fo_D3	99.98	85.38	76.17	42.56	41.73	59.71	79.21	36.01	44.68	68.00	104.48	103.71
Fv_L1	627.81	560.63	510.34	310.82	294.41	415.89	530.20	261.12	311.22	479.00	628.48	609.86
Fv_L2	422.36	442.56	308.19	235.95	228.08	311.43	383.67	187.48	218.23	368.09	396.83	403.47
Fv_L3	349.28	351.77	260.39	186.75	176.42	245.44	280.34	150.96	160.53	291.76	315.46	310.90
Fv_L4	301.19	289.12	222.67	157.13	147.08	200.70	226.67	128.99	131.45	240.70	253.62	249.00
Fv_Lss	287.18	270.83	206.16	146.00	133.58	183.28	202.66	118.46	120.97	215.46	220.10	218.00
Fv_D1	501.39	441.21	407.47	266.37	253.87	343.41	459.14	225.52	289.04	376.82	540.66	559.30
Fv_D2	561.30	499.14	461.23	287.24	278.41	377.54	494.78	246.16	303.01	428.23	585.26	592.44
Fv_D3	575.82	514.46	473.45	291.91	285.98	382.97	502.93	248.53	305.24	440.24	599.02	593.49
Fq_L1	14.13	3.90	13.57	14.65	15.66	16.81	25.14	9.81	9.30	2.52	18.41	2.19
Fq_L2	-1.05	2.53	-4.26	3.61	4.16	5.35	9.84	-0.32	7.04	4.80	16.36	11.86
Fq_L3	23.42	23.83	19.10	8.20	3.78	10.62	13.94	9.54	1.40	10.15	25.92	15.55
Fq_L4	28.55	23.46	23.45	8.32	14.89	8.86	20.90	21.19	2.77	11.49	23.96	18.60
Fq_Lss	33.69	25.89	19.82	9.27	20.39	13.11	24.71	25.29	8.72	12.20	15.39	15.13
Fq_D1	477.25	424.36	390.99	256.42	245.66	333.56	441.84	219.68	279.44	359.66	515.97	529.45
Fq_D2	535.01	476.74	439.91	275.55	270.08	363.81	473.08	238.53	295.05	410.47	558.52	563.96
Fq_D3	551.52	491.93	454.50	281.85	277.43	369.72	483.40	241.25	297.13	419.16	575.10	574.73
QY_max	0.87	0.88	0.88	0.89	0.88	0.88	0.88	0.89	0.88	0.88	0.87	0.87
Fv/Fm_L1	0.86	0.87	0.87	0.88	0.87	0.87	0.87	0.88	0.87	0.87	0.86	0.85
Fv/Fm_L2	0.81	0.84	0.81	0.85	0.85	0.84	0.83	0.84	0.83	0.85	0.80	0.80
Fv/Fm_L3	0.79	0.81	0.79	0.82	0.82	0.81	0.79	0.81	0.79	0.82	0.77	0.77
Fv/Fm_L4	0.77	0.79	0.76	0.80	0.79	0.78	0.76	0.79	0.76	0.79	0.74	0.73
Fv/Fm_Lss	0.76	0.78	0.75	0.79	0.78	0.77	0.75	0.78	0.75	0.78	0.71	0.71
Fv/Fm_D1	0.84	0.84	0.84	0.86	0.86	0.85	0.85	0.86	0.87	0.85	0.84	0.84
Fv/Fm_D2	0.85	0.85	0.86	0.87	0.87	0.86	0.86	0.87	0.87	0.86	0.85	0.85
Fv/Fm_D3	0.85	0.86	0.86	0.87	0.87	0.86	0.86	0.87	0.87	0.87	0.85	0.85
QY_L1	0.01	0.00	0.01	0.02	0.03	0.02	0.04	0.01	0.01	-0.00	0.02	-0.00
QY_L2	-0.01	-0.00	-0.03	-0.01	-0.01	-0.00	0.01	-0.03	0.00	-0.00	0.03	0.02
QY_L3	0.04	0.05	0.04	0.00	-0.02	0.01	0.03	0.01	-0.04	0.01	0.05	0.03
QY_L4	0.06	0.05	0.06	0.00	0.04	0.00	0.06	0.10	-0.04	0.02	0.06	0.04
QY_Lss	0.08	0.06	0.05	0.01	0.08	0.03	0.08	0.13	0.01	0.02	0.03	0.04
QY_D1	0.79	0.81	0.81	0.83	0.83	0.83	0.82	0.84	0.83	0.81	0.80	0.80
