FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13
Size [pixels]	3776	2068	3561	2911	1819	1053	2114	1499	184	1225	1125	857	644
Fo	90.04	87.93	68.60	37.07	40.55	86.12	79.52	67.30	71.03	140.71	68.45	80.13	124.24
Fo_gauss	90.04	87.93	68.60	37.07	40.55	86.12	79.52	67.30	71.03	140.71	68.45	80.13	124.24
Fo_median	76.33	74.16	56.01	26.86	29.76	72.37	66.18	54.68	57.97	125.47	55.37	66.44	108.56
Fm	737.15	747.42	578.85	334.40	382.86	721.38	648.28	587.83	600.82	1028.17	578.06	657.31	912.71
Fv	647.11	659.49	510.25	297.34	342.31	635.26	568.76	520.53	529.79	887.45	509.61	577.18	788.47
Fp	763.95	769.51	607.19	358.82	406.29	744.66	683.07	613.83	638.85	1067.38	595.74	680.72	933.93
Fp-median	708.08	713.34	559.94	322.98	360.79	688.02	632.19	565.69	588.42	1005.34	548.77	622.95	876.41
Fp-gauss	912.40	917.19	754.81	482.32	526.87	895.30	818.22	743.70	770.33	1233.31	717.26	830.46	1087.09
Fp-average	816.62	822.32	661.30	404.44	449.28	799.22	731.03	659.28	685.85	1126.53	638.42	734.61	990.30
Fm_L1	665.87	675.29	497.96	300.26	346.44	655.97	598.53	542.53	545.75	908.00	528.98	563.12	824.39
Fm_L2	479.37	493.07	346.52	233.95	269.73	453.86	449.20	433.97	453.35	597.52	467.26	385.04	609.19
Fm_L3	399.78	422.48	302.45	188.89	214.11	385.78	359.24	356.58	371.31	513.14	392.05	334.72	493.96
Fm_L4	348.26	370.76	263.58	164.87	187.42	335.26	306.78	306.90	320.76	444.53	317.54	294.71	409.02
Fm_Lss	328.82	349.18	243.05	156.22	175.32	321.30	284.14	288.14	302.50	410.35	290.53	268.70	366.48
Fm_D1	566.94	549.76	432.34	271.40	301.17	525.75	526.52	478.64	498.30	829.59	476.22	509.81	761.99
Fm_D2	603.39	596.99	463.50	287.73	327.04	591.50	558.80	512.73	529.44	873.49	505.35	538.10	795.43
Fm_D3	613.16	611.00	469.59	287.53	330.56	608.89	566.37	521.92	532.89	878.46	516.79	543.29	799.23
Ft_L1	644.46	647.12	494.63	282.32	323.91	616.67	578.85	518.18	531.99	902.82	488.70	560.88	807.49
Ft_L2	482.38	493.91	339.45	231.30	264.33	455.16	440.37	424.50	426.39	593.68	424.17	382.61	593.20
Ft_L3	377.68	400.64	287.72	189.75	213.10	362.94	346.79	339.19	336.38	493.29	358.61	314.52	473.29
Ft_L4	320.24	341.55	247.56	158.96	175.53	307.03	290.92	287.51	291.99	413.76	277.68	271.69	388.61
Ft_Lss	296.61	313.42	225.42	141.70	156.53	285.21	261.97	263.97	254.70	374.07	244.27	253.69	344.98
Ft_D1	104.59	102.98	77.87	43.01	47.03	99.08	93.27	84.76	85.95	166.87	85.33	98.38	149.84
Ft_D2	108.78	107.51	80.80	43.61	49.57	105.98	95.81	84.13	91.23	168.60	90.66	98.52	144.83
Ft_D3	109.47	108.34	79.72	41.82	48.81	104.99	94.83	84.75	93.61	166.35	88.32	96.07	143.12
Fo_L1	88.85	86.81	67.24	36.56	40.07	85.09	78.71	66.63	70.16	138.17	67.68	78.47	122.39
Fo_L2	84.27	82.70	63.24	35.16	38.61	80.23	75.24	64.56	68.26	127.81	66.48	73.50	115.89
Fo_L3	81.30	80.39	61.49	33.76	37.07	77.71	72.07	62.43	65.94	123.42	64.65	71.37	110.88
Fo_L4	78.83	78.17	59.58	32.80	36.04	75.28	69.58	60.59	63.99	118.83	62.06	69.27	105.96
Fo_Lss	77.75	77.10	58.33	32.34	35.54	74.53	68.25	59.75	63.25	116.17	60.86	67.57	102.85
Fo_D1	86.74	84.21	65.76	36.01	39.30	82.34	77.22	65.52	69.26	136.13	66.69	77.30	120.90
Fo_D2	87.58	85.31	66.51	36.34	39.77	83.85	77.94	66.16	69.87	137.30	67.27	77.97	121.74
Fo_D3	87.79	85.60	66.65	36.34	39.80	84.21	78.08	66.30	69.93	137.43	67.47	78.09	121.80
Fv_L1	577.02	588.48	430.72	263.70	306.37	570.88	519.82	475.89	475.59	769.83	461.30	484.65	702.00
Fv_L2	395.09	410.37	283.28	198.78	231.12	373.64	373.97	369.41	385.09	469.71	400.78	311.53	493.29
Fv_L3	318.49	342.09	240.96	155.13	177.04	308.07	287.17	294.16	305.37	389.73	327.39	263.35	383.08
Fv_L4	269.43	292.59	204.00	132.07	151.38	259.98	237.20	246.31	256.78	325.71	255.48	225.45	303.06
Fv_Lss	251.07	272.08	184.72	123.88	139.78	246.78	215.88	228.39	239.25	294.18	229.67	201.13	263.63
Fv_D1	480.21	465.55	366.58	235.38	261.87	443.41	449.31	413.11	429.04	693.45	409.52	432.51	641.09
Fv_D2	515.81	511.67	396.99	251.39	287.27	507.65	480.86	446.57	459.57	736.19	438.08	460.13	673.69
Fv_D3	525.37	525.40	402.94	251.19	290.76	524.69	488.29	455.61	462.96	741.03	449.32	465.20	677.42
Fq_L1	21.42	28.17	3.33	17.94	22.53	39.31	19.68	24.35	13.76	5.18	40.28	2.24	16.90
Fq_L2	-3.02	-0.84	7.08	2.64	5.40	-1.30	8.83	9.47	26.96	3.84	43.09	2.42	15.99
Fq_L3	22.10	21.84	14.73	-0.87	1.01	22.84	12.45	17.39	34.93	19.86	33.44	20.20	20.67
Fq_L4	28.02	29.21	16.02	5.91	11.90	28.23	15.86	19.39	28.78	30.78	39.86	23.02	20.41
Fq_Lss	32.22	35.76	17.63	14.52	18.79	36.09	22.17	24.16	47.80	36.28	46.25	15.00	21.50
Fq_D1	462.36	446.78	354.46	228.39	254.13	426.67	433.26	393.88	412.35	662.72	390.89	411.43	612.15
Fq_D2	494.62	489.48	382.70	244.12	277.47	485.52	463.00	428.60	438.21	704.89	414.68	439.58	650.60
Fq_D3	503.69	502.66	389.87	245.71	281.75	503.90	471.55	437.17	439.28	712.10	428.47	447.22	656.11
QY_max	0.88	0.88	0.88	0.89	0.89	0.88	0.88	0.88	0.88	0.86	0.88	0.88	0.86
Fv/Fm_L1	0.87	0.87	0.86	0.88	0.88	0.87	0.87	0.88	0.87	0.85	0.87	0.86	0.85
Fv/Fm_L2	0.82	0.83	0.82	0.85	0.85	0.82	0.83	0.85	0.85	0.79	0.86	0.81	0.81
Fv/Fm_L3	0.79	0.81	0.79	0.81	0.82	0.80	0.80	0.82	0.82	0.76	0.83	0.78	0.77
Fv/Fm_L4	0.77	0.79	0.77	0.79	0.80	0.77	0.77	0.80	0.80	0.73	0.80	0.76	0.74
Fv/Fm_Lss	0.76	0.78	0.75	0.78	0.79	0.76	0.76	0.79	0.79	0.71	0.79	0.74	0.72
Fv/Fm_D1	0.85	0.85	0.85	0.86	0.87	0.84	0.85	0.86	0.86	0.84	0.86	0.85	0.84
