FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13	Area 14	Area 15
Size [pixels]	3747	2611	657	1020	1508	1034	813	874	1475	1400	817	461	573	337	1977
Fo	123.63	81.31	67.10	136.64	93.34	106.74	65.24	113.90	83.43	83.58	92.87	63.19	75.70	51.50	62.04
Fo_gauss	123.63	81.31	67.10	136.64	93.34	106.74	65.24	113.90	83.43	83.58	92.87	63.19	75.70	51.50	62.04
Fo_median	108.62	67.73	53.93	121.35	78.64	92.24	52.83	98.81	69.89	70.43	78.75	50.49	61.95	39.03	49.77
Fm	947.90	692.85	580.66	1032.43	752.75	854.99	542.81	862.54	681.74	680.21	763.28	529.58	598.57	442.39	543.26
Fv	824.28	611.54	513.57	895.79	659.41	748.25	477.57	748.64	598.31	596.63	670.41	466.39	522.87	390.89	481.23
Fp	987.80	715.38	615.76	1049.01	773.05	873.91	579.13	881.49	707.91	709.45	784.24	572.43	629.80	471.91	571.25
Fp-median	924.89	661.23	562.54	985.24	717.60	816.46	526.64	826.17	656.89	658.49	729.05	522.59	576.60	427.75	527.00
Fp-gauss	1152.32	863.63	758.27	1206.33	917.90	1024.53	716.44	1028.74	840.31	843.13	931.53	706.52	773.45	589.55	716.41
Fp-average	1045.56	767.74	664.56	1105.29	824.45	927.75	625.46	933.10	754.97	756.51	836.76	619.68	683.10	514.27	626.00
Fm_L1	868.81	621.95	515.46	942.02	675.19	777.35	483.23	756.95	624.61	618.78	691.50	487.09	529.23	408.55	484.04
Fm_L2	581.59	463.46	409.84	638.01	519.52	557.44	343.32	510.86	452.88	473.57	536.45	388.20	387.16	330.87	353.26
Fm_L3	490.75	394.36	342.86	537.13	426.18	465.55	288.99	432.04	367.31	388.58	436.11	318.60	319.90	267.26	294.35
Fm_L4	429.62	342.00	289.99	461.95	364.93	406.69	239.26	359.81	312.37	336.62	373.15	274.11	267.57	228.78	254.90
