FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8
Size [pixels]	8394	6775	3167	5445	3233	1539	3211	2893
Fo	71.02	58.04	80.28	71.13	65.43	106.73	53.03	55.48
Fo_gauss	71.02	58.04	80.28	71.13	65.43	106.73	53.03	55.48
Fo_median	57.55	45.31	65.29	57.41	52.38	90.77	40.64	43.15
Fm	523.76	445.40	567.69	541.71	480.00	722.91	438.71	440.26
Fv	452.74	387.37	487.41	470.57	414.57	616.17	385.68	384.79
Fp	552.81	471.28	604.98	583.00	509.36	747.80	458.73	462.83
Fp-median	498.11	424.87	550.55	529.86	459.82	684.92	415.91	419.33
Fp-gauss	693.96	590.92	742.41	719.65	639.19	896.30	586.92	576.26
Fp-average	603.79	514.70	655.66	633.15	555.68	800.23	505.96	504.52
Fm_L1	449.25	396.57	483.12	477.72	430.34	595.60	389.65	389.11
Fm_L2	311.66	291.26	323.88	329.14	293.31	403.65	274.90	287.01
Fm_L3	262.04	231.37	265.36	265.85	242.52	346.88	217.20	230.18
Fm_L4	234.18	201.70	239.25	232.76	212.26	305.25	190.06	196.20
Fm_Lss	222.14	191.72	229.04	221.72	197.84	283.42	181.13	183.23
Fm_D1	381.83	317.51	374.64	399.21	383.45	544.85	350.09	345.78
Fm_D2	415.86	370.87	449.19	446.39	416.78	587.56	368.64	375.00
Fm_D3	427.71	380.50	470.83	458.82	423.26	600.27	377.25	381.11
Ft_L1	451.24	384.02	483.18	476.74	413.26	601.12	371.49	365.40
Ft_L2	306.38	291.37	322.63	327.31	290.17	386.69	276.38	278.99
Ft_L3	250.84	224.30	263.49	262.02	240.51	328.46	215.01	212.48
Ft_L4	222.35	183.81	235.52	229.24	202.42	289.18	179.37	159.64
Ft_Lss	211.88	169.71	226.13	217.45	189.68	262.35	162.86	145.47
Ft_D1	81.19	66.96	92.61	84.58	76.96	129.09	62.43	63.43
Ft_D2	84.97	72.97	98.64	89.30	78.85	126.46	64.98	67.97
Ft_D3	84.63	71.97	99.00	89.27	77.05	125.49	63.84	66.94
Fo_L1	69.39	57.07	78.28	69.84	64.38	103.39	52.17	54.53
Fo_L2	64.64	53.99	72.17	65.26	59.86	95.18	49.17	51.69
Fo_L3	62.06	51.30	68.63	62.14	57.28	91.55	46.73	49.31
Fo_L4	60.21	49.58	66.66	60.03	55.24	88.27	45.18	47.42
Fo_Lss	59.33	48.88	65.72	59.19	54.10	86.26	44.58	46.58
Fo_D1	67.38	54.95	74.51	67.75	63.09	101.54	51.34	53.50
Fo_D2	68.45	56.46	77.26	69.09	64.02	103.11	51.76	54.20
Fo_D3	68.79	56.70	77.92	69.40	64.20	103.51	51.93	54.35
Fv_L1	379.86	339.50	404.84	407.88	365.96	492.21	337.48	334.59
Fv_L2	247.02	237.27	251.71	263.88	233.45	308.46	225.74	235.32
Fv_L3	199.98	180.07	196.73	203.71	185.25	255.33	170.47	180.87
Fv_L4	173.96	152.12	172.59	172.74	157.02	216.97	144.88	148.79
Fv_Lss	162.81	142.84	163.32	162.54	143.74	197.15	136.55	136.66
Fv_D1	314.44	262.57	300.13	331.46	320.36	443.31	298.75	292.28
Fv_D2	347.41	314.41	371.93	377.30	352.76	484.46	316.87	320.80
Fv_D3	358.91	323.79	392.91	389.42	359.06	496.76	325.31	326.76
Fq_L1	-1.99	12.55	-0.06	0.98	17.08	-5.52	18.16	23.72
Fq_L2	5.28	-0.11	1.25	1.83	3.14	16.96	-1.48	8.02
Fq_L3	11.20	7.07	1.87	3.83	2.02	18.42	2.19	17.70
Fq_L4	11.82	17.88	3.73	3.53	9.84	16.06	10.69	36.56
Fq_Lss	10.26	22.01	2.91	4.28	8.16	21.06	18.27	37.77
Fq_D1	300.64	250.55	282.03	314.63	306.49	415.76	287.66	282.36
Fq_D2	330.89	297.91	350.55	357.09	337.93	461.10	303.66	307.03
Fq_D3	343.07	308.52	371.83	369.54	346.20	474.78	313.40	314.17
QY_max	0.86	0.87	0.86	0.87	0.86	0.85	0.88	0.87
Fv/Fm_L1	0.84	0.86	0.84	0.85	0.85	0.83	0.86	0.86
Fv/Fm_L2	0.79	0.81	0.78	0.80	0.79	0.76	0.82	0.82
Fv/Fm_L3	0.76	0.78	0.74	0.76	0.76	0.73	0.78	0.78
Fv/Fm_L4	0.74	0.75	0.72	0.74	0.73	0.71	0.76	0.75
Fv/Fm_Lss	0.73	0.74	0.71	0.73	0.72	0.69	0.75	0.74
Fv/Fm_D1	0.82	0.83	0.80	0.83	0.83	0.81	0.85	0.84
Fv/Fm_D2	0.83	0.85	0.83	0.84	0.84	0.82	0.86	0.85
Fv/Fm_D3	0.84	0.85	0.83	0.85	0.85	0.83	0.86	0.86
QY_L1	-0.02	0.02	-0.01	-0.01	0.03	-0.02	0.03	0.05
QY_L2	-0.01	-0.02	-0.01	-0.01	-0.01	0.03	-0.03	0.01
QY_L3	0.01	0.01	-0.02	-0.01	-0.02	0.04	-0.03	0.06
QY_L4	0.01	0.07	-0.01	-0.02	0.01	0.03	0.01	0.16
QY_Lss	-0.00	0.10	-0.02	-0.02	0.00	0.05	0.06	0.18
QY_D1	0.79	0.79	0.75	0.79	0.80	0.76	0.82	0.81
QY_D2	0.79	0.80	0.78	0.80	0.81	0.78	0.82	0.82
QY_D3	0.80	0.81	0.79	0.80	0.82	0.79	0.83	0.82
NPQ_L1	0.20	0.14	0.19	0.15	0.13	0.23	0.14	0.14
NPQ_L2	0.73	0.56	0.79	0.68	0.68	0.81	0.64	0.56
NPQ_L3	1.09	0.98	1.20	1.09	1.05	1.13	1.10	0.95
NPQ_L4	1.36	1.28	1.46	1.40	1.36	1.43	1.41	1.31
NPQ_Lss	1.50	1.41	1.57	1.52	1.55	1.63	1.54	1.48
NPQ_D1	0.42	0.44	0.55	0.38	0.29	0.37	0.28	0.29
NPQ_D2	0.31	0.23	0.28	0.24	0.18	0.25	0.22	0.19
