FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10
Size [pixels]	1400	1242	1675	1201	1162	1129	700	1753	845	1250
Fo	78.91	68.81	65.40	90.51	82.93	64.55	63.21	84.07	75.45	83.36
Fo_gauss	78.91	68.81	65.40	90.51	82.93	64.55	63.21	84.07	75.45	83.36
Fo_median	63.33	54.37	51.39	73.55	66.69	50.14	47.61	67.84	58.94	67.43
Fm	614.55	560.60	529.81	684.61	660.65	533.24	518.40	660.90	619.19	652.51
Fv	535.64	491.78	464.42	594.10	577.72	468.69	455.19	576.83	543.74	569.15
Fp	651.09	597.63	559.42	707.44	687.39	563.28	535.00	683.70	635.84	681.96
Fp-median	593.76	540.52	503.59	642.85	623.76	506.98	476.49	622.27	571.96	619.36
Fp-gauss	796.41	741.72	695.12	854.82	835.79	706.86	676.60	832.75	787.91	832.06
Fp-average	707.44	652.12	610.98	764.49	745.14	618.22	594.57	742.25	696.17	739.19
Fm_L1	496.16	472.88	460.94	575.25	564.32	441.49	453.03	559.14	535.87	566.62
Fm_L2	329.47	330.88	305.05	384.76	386.83	291.14	316.37	368.82	370.89	400.95
Fm_L3	286.26	285.04	254.67	315.30	325.58	254.96	261.43	313.00	314.95	325.17
Fm_L4	242.63	248.54	217.43	270.88	284.13	219.28	223.35	270.05	275.10	283.89
Fm_Lss	216.08	227.58	196.46	241.54	257.80	201.57	209.89	242.50	255.41	260.19
Fm_D1	488.95	428.40	410.81	528.64	498.56	409.70	409.33	521.27	452.40	489.14
Fm_D2	504.95	446.92	425.95	549.43	517.99	418.40	423.15	537.02	487.40	529.72
Fm_D3	504.87	451.41	428.28	551.55	520.61	424.05	428.17	541.47	491.35	532.80
Ft_L1	517.42	491.59	453.55	590.13	572.87	447.15	444.23	567.95	533.46	572.24
Ft_L2	322.79	324.70	305.98	383.82	386.12	292.18	311.33	361.21	373.49	396.16
Ft_L3	281.16	279.64	253.15	311.52	316.75	247.70	256.02	303.41	301.46	317.65
Ft_L4	235.74	243.27	213.44	265.40	273.07	217.00	219.27	262.35	265.72	276.13
Ft_Lss	215.66	224.87	193.63	237.67	252.74	197.10	199.04	238.33	237.77	254.78
Ft_D1	110.32	91.00	80.31	118.56	105.70	82.67	78.52	107.83	97.37	114.67
Ft_D2	107.01	91.68	82.83	115.48	106.91	82.13	83.25	108.16	99.21	111.86
Ft_D3	102.42	88.14	80.97	110.07	102.54	80.85	79.92	104.96	96.13	104.55
Fo_L1	76.42	67.22	64.10	88.19	81.03	62.89	62.06	82.08	74.00	81.70
Fo_L2	70.63	63.08	59.54	81.68	75.76	58.20	58.37	76.03	69.46	76.76
Fo_L3	68.21	61.09	57.10	77.81	72.90	56.50	56.02	73.22	67.10	73.35
Fo_L4	65.22	59.07	54.78	74.62	70.48	54.36	53.90	70.44	64.95	70.90
Fo_Lss	63.01	57.68	53.15	72.00	68.47	53.09	53.00	68.22	63.68	69.23
Fo_D1	76.24	66.14	62.73	86.88	79.21	62.04	61.03	81.07	72.02	79.83
Fo_D2	76.65	66.56	63.10	87.43	79.74	62.30	61.36	81.48	72.92	80.85
Fo_D3	76.62	66.68	63.17	87.47	79.74	62.44	61.51	81.60	72.99	80.95
Fv_L1	419.75	405.66	396.84	487.06	483.29	378.60	390.96	477.06	461.87	484.92
Fv_L2	258.84	267.80	245.51	303.08	311.07	232.94	258.00	292.79	301.44	324.18
Fv_L3	218.05	223.95	197.56	237.49	252.68	198.46	205.41	239.77	247.85	251.83
Fv_L4	177.41	189.47	162.64	196.26	213.66	164.92	169.45	199.61	210.14	212.99
Fv_Lss	153.07	169.90	143.31	169.53	189.33	148.48	156.89	174.28	191.73	190.96
Fv_D1	412.71	362.26	348.08	441.76	419.35	347.66	348.30	440.20	380.38	409.31
Fv_D2	428.30	380.35	362.85	462.00	438.25	356.10	361.79	455.54	414.48	448.87
Fv_D3	428.25	384.73	365.11	464.08	440.87	361.61	366.65	459.87	418.35	451.86
Fq_L1	-21.26	-18.70	7.39	-14.88	-8.55	-5.66	8.80	-8.80	2.41	-5.62
Fq_L2	6.68	6.18	-0.93	0.94	0.71	-1.04	5.04	7.61	-2.59	4.78
Fq_L3	5.10	5.40	1.52	3.79	8.83	7.26	5.41	9.59	13.49	7.52
Fq_L4	6.88	5.28	3.98	5.47	11.07	2.28	4.07	7.70	9.37	7.76
Fq_Lss	0.42	2.71	2.83	3.87	5.06	4.47	10.84	4.17	17.64	5.41
Fq_D1	378.63	337.40	330.50	410.08	392.85	327.04	330.81	413.44	355.03	374.47
Fq_D2	397.94	355.23	343.11	433.95	411.08	336.28	339.90	428.86	388.19	417.86
Fq_D3	402.46	363.27	347.31	441.47	418.07	343.20	348.25	436.51	395.22	428.25
QY_max	0.87	0.88	0.88	0.87	0.87	0.88	0.88	0.87	0.88	0.87
Fv/Fm_L1	0.85	0.86	0.86	0.85	0.85	0.86	0.86	0.85	0.86	0.86
Fv/Fm_L2	0.78	0.81	0.80	0.79	0.80	0.80	0.81	0.79	0.81	0.81
Fv/Fm_L3	0.76	0.78	0.77	0.75	0.77	0.77	0.78	0.76	0.79	0.77
Fv/Fm_L4	0.73	0.76	0.74	0.72	0.74	0.75	0.75	0.73	0.76	0.75
Fv/Fm_Lss	0.70	0.74	0.72	0.69	0.72	0.73	0.74	0.71	0.75	0.73
Fv/Fm_D1	0.84	0.84	0.84	0.83	0.83	0.85	0.85	0.84	0.84	0.84
Fv/Fm_D2	0.85	0.85	0.84	0.84	0.84	0.85	0.85	0.85	0.85	0.85
Fv/Fm_D3	0.85	0.85	0.84	0.84	0.84	0.85	0.85	0.85	0.85	0.85
QY_L1	-0.05	-0.06	0.00	-0.03	-0.03	-0.03	0.01	-0.02	-0.01	-0.02
QY_L2	0.00	-0.00	-0.02	-0.01	-0.01	-0.03	-0.00	0.00	-0.02	0.00
QY_L3	-0.01	-0.00	-0.02	-0.00	0.01	-0.00	0.00	0.01	0.02	0.01
QY_L4	-0.00	-0.01	-0.01	-0.01	0.02	-0.03	-0.01	0.00	0.01	0.01
QY_Lss	-0.04	-0.02	-0.02	-0.01	-0.01	-0.03	0.02	-0.02	0.05	-0.00
QY_D1	0.78	0.79	0.80	0.78	0.79	0.80	0.81	0.79	0.79	0.77
QY_D2	0.79	0.79	0.80	0.79	0.79	0.80	0.80	0.80	0.80	0.79
QY_D3	0.80	0.80	0.81	0.80	0.80	0.81	0.81	0.81	0.80	0.80
NPQ_L1	0.25	0.21	0.19	0.22	0.22	0.23	0.16	0.20	0.17	0.16
NPQ_L2	0.90	0.72	0.81	0.83	0.79	0.89	0.67	0.83	0.71	0.66
NPQ_L3	1.22	1.01	1.21	1.26	1.15	1.16	1.04	1.16	1.02	1.05
NPQ_L4	1.62	1.33	1.61	1.66	1.46	1.53	1.40	1.53	1.31	1.36
NPQ_Lss	1.97	1.56	1.94	2.01	1.82	1.79	1.57	1.85	1.49	1.58
NPQ_D1	0.29	0.34	0.41	0.36	0.44	0.34	0.30	0.31	0.39	0.35
NPQ_D2	0.24	0.29	0.35	0.31	0.39	0.31	0.26	0.27	0.29	0.25
NPQ_D3	0.24	0.27	0.35	0.31	0.39	0.29	0.23	0.26	0.28	0.24
qN_L1	0.21	0.17	0.14	0.17	0.16	0.18	0.14	0.17	0.15	0.14
qN_L2	0.52	0.45	0.47	0.49	0.46	0.50	0.44	0.49	0.44	0.42
qN_L3	0.60	0.54	0.58	0.60	0.57	0.58	0.55	0.59	0.54	0.56
qN_L4	0.67	0.62	0.65	0.67	0.63	0.65	0.63	0.66	0.61	0.63
qN_Lss	0.72	0.66	0.70	0.72	0.68	0.68	0.66	0.70	0.65	0.67
qN_D1	0.23	0.26	0.25	0.26	0.27	0.25	0.23	0.24	0.29	0.28
qN_D2	0.19	0.22	0.22	0.22	0.24	0.23	0.20	0.21	0.23	0.21
qN_D3	0.20	0.21	0.21	0.22	0.24	0.22	0.19	0.20	0.23	0.20
qP_L1	-0.07	-0.07	0.00	-0.04	-0.04	-0.03	0.01	-0.03	-0.01	-0.02
qP_L2	-0.00	-0.01	-0.03	-0.01	-0.02	-0.05	-0.01	0.00	-0.03	-0.00
qP_L3	-0.03	-0.01	-0.05	-0.01	0.01	-0.01	-0.00	0.01	0.02	0.00
qP_L4	-0.02	-0.02	-0.04	-0.02	0.01	-0.06	-0.03	-0.01	0.00	-0.00
qP_Lss	-0.07	-0.04	-0.06	-0.03	-0.04	-0.06	0.02	-0.04	0.05	-0.02
qP_D1	0.92	0.93	0.96	0.94	0.95	0.94	0.95	0.94	0.94	0.92
qP_D2	0.93	0.93	0.95	0.95	0.95	0.95	0.94	0.95	0.94	0.93
qP_D3	0.94	0.95	0.96	0.96	0.96	0.95	0.95	0.95	0.95	0.95
qL_L1	-0.65	-0.73	-0.14	-0.40	-0.43	-0.48	-0.06	-0.34	-0.26	-0.30
qL_L2	-0.22	-0.27	-0.41	-0.25	-0.30	-0.56	-0.27	-0.17	-0.37	-0.16
qL_L3	-0.45	-0.31	-0.55	-0.25	-0.23	-0.38	-0.32	-0.22	-0.14	-0.21
qL_L4	-0.47	-0.41	-0.55	-0.37	-0.23	-0.71	-0.42	-0.33	-0.27	-0.26
qL_Lss	-0.82	-0.51	-0.64	-0.46	-0.48	-0.74	-0.36	-0.54	-0.09	-0.32
qL_D1	1.32	1.29	1.20	1.25	1.22	1.27	1.23	1.25	1.26	1.30
qL_D2	1.31	1.30	1.22	1.23	1.24	1.25	1.28	1.24	1.28	1.29
qL_D3	1.26	1.25	1.20	1.18	1.20	1.24	1.25	1.22	1.23	1.21
Rfd_L1	0.28	0.24	0.27	0.23	0.24	0.29	0.23	0.23	0.22	0.21
Rfd_L2	1.10	0.91	0.91	0.95	0.87	1.02	0.79	0.97	0.77	0.77
Rfd_L3	1.43	1.24	1.40	1.39	1.43	1.40	1.21	1.38	1.20	1.23
Rfd_L4	1.95	1.60	1.90	1.81	1.74	1.84	1.60	1.78	1.53	1.59
Rfd_Lss	2.29	1.84	2.24	2.39	2.14	2.15	1.97	2.08	1.84	1.81
